Jupiter,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
AR,1438701.5,1438702.102,1438702.226,-774,12,14,17.41278,83.59604,0.30223,255.69207,240.95428,0,66.26062,-5.87409
CS,1438713.5,1438714.657,1438714.78,-774,12,27,6.72528,81.92118,0.33362,268.47239,118.96841,0,295.07548,-5.28368
EL,1438892.5,1438893.209,1438893.332,-773,6,23,19.96639,95.00241,0.5201,82.4415,119.39571,0,127.02666,-10.02033
MF,1438925.5,1438925.547,1438925.67,-773,7,26,4.08611,102.07673,0.56959,113.50892,241.12256,0,235.55063,-10.01428
AR,1439098.5,1439099.113,1439099.236,-772,1,15,17.6625,114.77462,1.17432,287.91838,242.56866,0,66.63682,-5.64661
CS,1439112.5,1439113.656,1439113.78,-772,1,30,6.71417,112.87623,1.19995,302.5154,117.88071,0,290.04762,-5.76104
EL,1439286.5,1439287.211,1439287.334,-772,7,21,20.02778,125.22928,1.02187,110.04391,114.44511,0,125.59831,-10.42109
MF,1439321.5,1439321.564,1439321.688,-772,8,25,4.50639,132.668,1.05127,143.53793,247.97469,0,245.45822,-10.62955
AR,1439494.5,1439495.131,1439495.254,-771,2,14,18.10194,145.15064,1.69423,318.66669,252.05333,0,75.33441,-5.84566
CS,1439510.5,1439511.637,1439511.761,-771,3,3,6.26056,143.03823,1.7034,334.93448,108.82731,0,278.14727,-5.53837
EL,1439681.5,1439682.193,1439682.317,-771,8,20,19.60111,155.26781,1.23807,139.00605,103.03845,0,115.96783,-10.0241
MF,1439716.5,1439716.584,1439716.707,-771,9,24,4.97083,162.74902,1.23739,173.13566,260.39855,0,259.64371,-10.43232
AR,1439891.5,1439892.144,1439892.268,-770,3,18,18.425,175.35222,1.7538,349.83323,265.83542,0,88.49152,-5.14682
CS,1439907.5,1439908.608,1439908.732,-770,4,4,5.5575,173.27277,1.74082,5.76255,95.15216,0,263.69798,-5.30612
EL,1440076.5,1440077.167,1440077.29,-770,9,19,18.97028,185.51848,1.11472,168.4699,88.5609,0,102.41899,-10.0901
MF,1440111.5,1440111.602,1440111.726,-770,10,24,5.41361,193.14055,1.08323,203.19674,275.10819,0,274.36766,-10.0869
AR,1440288.5,1440289.16,1440289.283,-769,4,19,18.79056,206.39579,1.32134,20.47436,280.91366,0,103.47432,-5.50147
CS,1440303.5,1440304.58,1440304.703,-769,5,5,4.87944,204.44901,1.29281,35.20709,79.91755,0,250.29957,-5.01186
EL,1440473.5,1440474.139,1440474.262,-769,10,21,18.29056,217.00755,0.66408,200.44396,73.86503,0,86.97983,-10.22842
MF,1440508.5,1440508.621,1440508.744,-769,11,25,5.86083,224.84836,0.60968,235.59379,289.19713,0,286.50132,-10.42327
AR,1440687.5,1440688.176,1440688.3,-768,5,22,19.18972,238.78689,0.46526,52.68252,293.82941,0,116.6388,-5.4415
CS,1440700.5,1440701.56,1440701.683,-768,6,5,4.39139,237.0814,0.43084,65.41747,66.60646,0,240.01114,-5.12761
EL,1440873.5,1440874.119,1440874.243,-768,11,24,17.8275,250.43698,-0.0157,235.85894,62.91963,0,73.32402,-10.26803
MF,1440908.5,1440908.638,1440908.762,-768,12,29,6.28583,258.51439,-0.07866,271.04243,298.33613,0,291.60103,-10.58841
AR,1441088.5,1441089.19,1441089.314,-767,6,27,19.52556,272.92723,-0.59981,86.77023,299.57853,0,122.94349,-5.19375
CS,1441099.5,1441100.558,1441100.682,-767,7,9,4.35806,271.4529,-0.62922,97.66379,60.35331,0,237.15575,-5.36424
EL,1441275.5,1441276.123,1441276.246,-767,12,31,17.90806,285.71619,-0.71465,273.31216,61.42042,0,68.30475,-10.36762
MF,1441312.5,1441312.639,1441312.762,-766,2,6,6.28722,294.42697,-0.77063,310.03348,297.01862,0,284.99829,-10.05711
AR,1441490.5,1441491.186,1441491.31,-766,8,3,19.42833,308.68954,-1.49343,122.19,293.90766,0,118.06031,-5.22188
CS,1441500.5,1441501.577,1441501.7,-766,8,14,4.80694,307.31324,-1.51012,132.31895,65.62431,0,245.25974,-5.21529
EL,1441678.5,1441679.142,1441679.265,-765,2,7,18.36361,322.20275,-1.16018,311.28426,71.45764,0,75.51308,-10.21133
MF,1441720.5,1441720.606,1441720.729,-765,3,21,5.50722,332.09251,-1.1901,352.0285,284.39882,0,267.12787,-10.18249
AR,1441892.5,1441893.16,1441893.283,-765,9,9,18.80333,345.16511,-1.82075,158.2842,279.11095,0,103.89402,-5.2757
CS,1441902.5,1441903.599,1441903.722,-765,9,20,5.33389,343.75502,-1.81965,168.69286,80.22571,0,261.09574,-5.18945
EL,1442080.5,1442081.162,1442081.285,-764,3,15,18.84333,358.5299,-1.15836,347.47328,88.02152,0,91.02071,-10.70906
MF,1442124.5,1442124.567,1442124.691,-764,4,28,4.57667,8.71108,-1.13868,29.27096,267.05719,0,249.04856,-10.15193
AR,1442293.5,1442294.127,1442294.25,-764,10,14,18.00222,21.05209,-1.44261,194.14071,261.61683,0,86.54879,-5.05739
CS,1442303.5,1442304.619,1442304.742,-764,10,25,5.8175,19.62506,-1.42482,204.78249,97.75067,0,278.15362,-5.33496
EL,1442482.5,1442483.178,1442483.302,-763,4,21,19.24,34.00935,-0.7234,22.93045,104.84317,0,108.29566,-10.55814
MF,1442523.5,1442523.541,1442523.664,-763,6,1,3.9375,43.23719,-0.66646,61.40129,251.46178,0,236.49261,-10.42973
AR,1442691.5,1442692.106,1442692.23,-763,11,16,17.51694,55.57467,-0.57049,227.45408,247.21472,0,73.03578,-5.70039
CS,1442702.5,1442703.642,1442703.765,-763,11,28,6.36722,54.0147,-0.54201,239.23881,112.34898,0,290.9828,-5.07176
EL,1442882.5,1442883.197,1442883.32,-762,5,26,19.6825,67.68411,-0.05539,56.08491,116.45699,0,121.79439,-10.31335
MF,1442918.5,1442918.536,1442918.659,-762,7,1,3.82167,75.55452,0.00669,89.77749,242.12119,0,232.33177,-10.36873
AR,1443089.5,1443090.101,1443090.225,-762,12,19,17.38972,88.07675,0.43971,260.88437,240.60371,0,65.38123,-5.40053
CS,1443101.5,1443102.657,1443102.781,-761,1,1,6.73583,86.40691,0.47027,273.64069,119.39,0,294.79768,-5.61478
EL,1443279.5,1443280.21,1443280.334,-761,6,27,20.00889,99.38724,0.60349,86.35995,119.19374,0,127.40198,-10.16871
MF,1443313.5,1443313.548,1443313.671,-761,7,31,4.10722,106.6673,0.65225,118.44767,241.64869,0,236.34096,-10.55196
AR,1443486.5,1443487.113,1443487.237,-760,1,20,17.67667,119.11824,1.27321,293.0412,243.51668,0,67.16559,-5.02644
CS,1443499.5,1443500.657,1443500.78,-760,2,3,6.72444,117.35202,1.29511,306.6088,116.96141,0,289.20346,-5.22801
EL,1443673.5,1443674.21,1443674.333,-760,7,25,20,129.54772,1.07127,114.01066,113.11781,0,124.72843,-10.45062
MF,1443708.5,1443708.568,1443708.691,-760,8,29,4.58806,136.98796,1.09647,147.58656,249.5018,0,247.3954,-10.44658
AR,1443882.5,1443883.131,1443883.255,-759,2,19,18.115,149.45537,1.73262,323.7095,253.84024,0,76.86723,-5.18355
CS,1443897.5,1443898.635,1443898.759,-759,3,7,6.20889,147.47524,1.73827,338.94207,107.01582,0,276.60509,-5.13589
EL,1444068.5,1444069.19,1444069.314,-759,8,24,19.52861,159.58373,1.24164,143.02759,101.07401,0,114.3255,-10.09101
MF,1444103.5,1444103.587,1444103.71,-759,9,28,5.04528,167.076,1.23622,177.23922,262.44001,0,261.82533,-10.21907
AR,1444278.5,1444279.148,1444279.271,-758,3,22,18.50944,179.8353,1.72175,353.81749,268.03468,0,90.73409,-5.6484
CS,1444294.5,1444295.605,1444295.728,-758,4,8,5.48083,177.75636,1.70687,9.71336,92.95273,0,261.96481,-5.04172
EL,1444463.5,1444464.164,1444464.287,-758,9,23,18.88917,189.88798,1.0707,172.55422,86.4219,0,100.51562,-10.25035
MF,1444499.5,1444499.603,1444499.727,-758,10,29,5.44333,197.75057,1.03459,208.36656,277.31711,0,276.31613,-10.61918
AR,1444676.5,1444677.16,1444677.284,-757,4,24,18.81417,210.87773,1.22377,25.35356,282.96023,0,105.43233,-5.0906
CS,1444691.5,1444692.574,1444692.698,-757,5,10,4.74667,208.93335,1.19265,40.05991,77.83805,0,248.0237,-5.40086
EL,1444861.5,1444862.134,1444862.258,-757,10,26,18.18528,221.70138,0.57978,205.60794,71.93993,0,84.55633,-10.08994
MF,1444895.5,1444895.625,1444895.748,-757,11,29,5.95583,229.3394,0.52493,239.76994,290.8617,0,287.89767,-10.01863
AR,1445075.5,1445076.178,1445076.301,-756,5,27,19.23333,243.44413,0.32468,57.53164,295.18602,0,117.97547,-5.22524
CS,1445088.5,1445089.557,1445089.68,-756,6,10,4.31833,241.73704,0.28957,70.26622,65.19002,0,238.66868,-5.51669
EL,1445261.5,1445262.118,1445262.242,-756,11,29,17.79944,255.26001,-0.1151,241.04036,62.02962,0,71.93043,-10.25852
MF,1445296.5,1445296.64,1445296.764,-755,1,3,6.32528,263.35676,-0.17775,276.19364,298.87206,0,291.46785,-10.51723
AR,1445476.5,1445477.191,1445477.314,-755,7,2,19.54139,277.7654,-0.73932,91.65098,299.49661,0,122.91718,-5.12461
CS,1445487.5,1445488.559,1445488.682,-755,7,14,4.37806,276.28813,-0.76773,102.56211,60.36749,0,237.4509,-5.60987
EL,1445663.5,1445664.125,1445664.248,-754,1,5,17.96167,290.65627,-0.79464,278.45811,62.17147,0,68.61522,-10.40929
MF,1445701.5,1445701.635,1445701.758,-754,2,12,6.20278,299.60722,-0.84923,316.06822,295.8411,0,282.82401,-10.19906
AR,1445878.5,1445879.183,1445879.307,-754,8,8,19.36528,313.65229,-1.57611,127.13591,292.28803,0,116.5125,-5.20958
CS,1445888.5,1445889.58,1445889.703,-754,8,19,4.87611,312.2701,-1.59065,137.30456,67.20268,0,247.07753,-5.27767
EL,1446066.5,1446067.145,1446067.268,-753,2,12,18.43222,327.19533,-1.18752,316.33862,73.49048,0,77.30077,-10.24198
MF,1446109.5,1446109.599,1446109.723,-753,3,27,5.34861,337.30512,-1.21246,357.92037,282.08627,0,264.12307,-10.3568
AR,1446280.5,1446281.155,1446281.279,-753,9,14,18.68611,350.12336,-1.8095,163.33714,276.73895,0,101.46779,-5.19724
CS,1446290.5,1446291.601,1446291.725,-753,9,25,5.3925,348.71106,-1.80575,173.77611,82.59019,0,263.47644,-5.30319
EL,1446468.5,1446469.164,1446469.287,-752,3,20,18.89833,3.47909,-1.12199,352.41222,90.44942,0,93.42121,-10.72337
MF,1446512.5,1446512.562,1446512.686,-752,5,3,4.45556,13.63576,-1.09573,34.12493,264.67285,0,246.7965,-10.23826
AR,1446680.5,1446681.125,1446681.248,-752,10,18,17.95389,26.01676,-1.34711,198.2705,259.28368,0,84.91018,-5.49983
CS,1446691.5,1446692.621,1446692.744,-752,10,30,5.86639,24.45271,-1.32599,209.95353,100.04576,0,280.19982,-5.65582
EL,1446870.5,1446871.181,1446871.304,-751,4,26,19.29472,38.84542,-0.64031,27.79826,106.89026,0,110.51216,-10.46292
MF,1446910.5,1446910.539,1446910.663,-751,6,5,3.90194,47.82011,-0.58118,65.28512,249.71955,0,235.55013,-10.33304
AR,1447079.5,1447080.103,1447080.227,-751,11,21,17.43889,60.20608,-0.43121,232.63632,245.75142,0,71.11746,-5.36432
CS,1447090.5,1447091.644,1447091.767,-751,12,3,6.41028,58.64849,-0.40191,244.42114,113.86495,0,291.98769,-5.47458
EL,1447270.5,1447271.198,1447271.322,-750,5,31,19.72333,72.37806,0.04152,60.9298,117.44555,0,123.00634,-10.02289
MF,1447305.5,1447305.537,1447305.66,-750,7,5,3.84639,80.00904,0.10169,93.69807,241.48513,0,232.4465,-10.32426
AR,1447476.5,1447477.104,1447477.227,-750,12,23,17.44861,92.64943,0.56991,265.03058,240.45411,0,65.3995,-5.83074
CS,1447488.5,1447489.66,1447489.784,-749,1,5,6.81111,90.982,0.59988,277.77666,119.61279,0,294.98707,-5.01827
EL,1447666.5,1447667.212,1447667.335,-749,7,1,20.04,103.7428,0.68262,90.27895,118.81356,0,127.5831,-10.2789
MF,1447700.5,1447700.551,1447700.674,-749,8,4,4.17972,111.01149,0.72861,122.42314,242.31828,0,237.621,-10.43695
AR,1447873.5,1447874.117,1447874.24,-748,1,24,17.76556,123.54716,1.3615,297.14821,244.64267,0,68.3306,-5.40667
CS,1447887.5,1447888.654,1447888.777,-748,2,8,6.64972,121.65957,1.38269,311.66752,115.92738,0,287.41861,-5.46556
EL,1448061.5,1448062.206,1448062.33,-748,7,30,19.90806,134.04045,1.11424,118.93562,111.60877,0,123.03268,-10.00984
MF,1448095.5,1448095.571,1448095.694,-748,9,2,4.66611,141.26744,1.1351,151.62424,251.11331,0,249.36749,-10.27241
AR,1448269.5,1448270.135,1448270.258,-747,2,23,18.19778,153.82984,1.75941,327.7414,255.73288,0,78.76696,-5.56564
CS,1448285.5,1448286.63,1448286.753,-747,3,12,6.07722,151.72812,1.76221,343.91267,105.20275,0,274.13127,-5.41386
EL,1448455.5,1448456.187,1448456.31,-747,8,28,19.45083,163.85524,1.23811,147.05896,99.08338,0,112.60041,-10.13962
MF,1448490.5,1448490.59,1448490.713,-747,10,2,5.115,171.36035,1.22809,181.35596,264.49247,0,263.97052,-10.05661
AR,1448666.5,1448667.148,1448667.271,-746,3,27,18.51389,184.13802,1.68017,358.75167,270.15512,0,92.71296,-5.03008
CS,1448682.5,1448683.599,1448683.722,-746,4,13,5.33028,182.06531,1.66143,14.5988,90.82303,0,259.37536,-5.39855
EL,1448850.5,1448851.16,1448851.284,-746,9,27,18.80806,194.22982,1.02053,176.65672,84.31044,0,98.58937,-10.40138
MF,1448886.5,1448886.607,1448886.73,-746,11,2,5.52056,202.11616,0.98036,212.53124,279.37985,0,278.23527,-10.3985
AR,1449063.5,1449064.165,1449064.288,-745,4,28,18.91389,215.47736,1.11984,29.27501,284.99355,0,107.64467,-5.71955
CS,1449078.5,1449079.572,1449079.695,-745,5,14,4.68889,213.53024,1.0876,43.96703,75.77017,0,246.6459,-5.2032
EL,1449248.5,1449249.132,1449249.256,-745,10,30,18.14167,226.18814,0.49316,209.7615,70.19005,0,82.95999,-10.43127
MF,1449283.5,1449283.627,1449283.75,-745,12,4,6.00667,234.08442,0.43475,244.96796,292.49625,0,288.96079,-10.30893
AR,1449463.5,1449464.18,1449464.303,-744,6,1,19.28167,248.17982,0.17928,62.39359,296.40388,0,119.19715,-5.07252
CS,1449475.5,1449476.557,1449476.681,-744,6,14,4.33361,246.59696,0.14637,74.17676,63.88354,0,238.30224,-5.1388
