Modern Mars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conjunction,,,,first station,,,,opposition,,,,second station,,,,conjunction,first station,opposition,second station,conjunction,,,,first station,,,,opposition,,,,second station,,,
Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,,,,,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean
-738,10,31,1.18751,-737,11,13,19.42177,-737,12,24,15.73098,-736,2,2,1.53263,1451806.46638,1452185.22614,1452226.07236,1452265.48076,211.28713,221.73324,210.40224,211.28713,94.98531,60.23,224.18191,224.61032,84.87025,81.63629,265.85219,264.87025,75.5319,102.28907,305.59821,303.713
-735,1,11,10.76017,-735,12,17,14.70412,-734,1,27,9.44037,-734,3,8,9.71019,1452609.86524,1452950.02957,1452990.81025,1453030.82149,283.15432,282.77076,284.65033,283.15432,128.44106,101.0408,259.21219,258.43606,118.63139,122.41274,300.44171,298.63139,109.13591,143.38145,340.04068,338.06833
-733,3,24,6.21046,-732,1,25,13.89227,-732,3,4,16.37107,-732,4,13,2.35229,1453411.67567,1453718.99574,1453758.09903,1453797.51491,353.45587,342.97583,355.2375,353.45587,163.81851,144.03317,298.14412,296.3648,154.90681,164.52604,336.90397,334.90681,145.65448,185.18274,15.0995,13.75693
-731,5,11,3.74753,-730,3,16,10.78595,-730,4,20,10.77608,-730,5,27,2.20299,1454190.57305,1454499.86631,1454534.8659,1454571.50869,41.17326,31.17285,41.68797,41.17326,207.57934,193.26428,347.91961,346.02706,200.52428,211.60653,21.68709,20.52428,192.54686,230.80993,56.62682,56.64111
-729,6,18,6.73922,-728,5,28,16.81018,-728,6,27,3.07677,-728,7,28,11.38997,1454958.6977,1455304.11732,1455333.5451,1455364.89148,78.27256,73.72421,77.52621,78.27256,272.50221,254.74839,58.64718,58.73416,267.73954,270.17061,86.69615,87.73954,262.3611,286.59832,116.85096,118.63599
-727,7,22,1.93254,-726,8,8,4.40417,-726,9,11,0.05475,-726,10,14,6.53554,1455723.49742,1456105.60041,1456139.41918,1456172.68921,112.09465,114.53307,110.43468,112.09465,349.23073,314.78191,126.78996,128.71307,342.04643,332.50533,160.07649,162.04643,335.29497,349.94116,193.46403,194.83892
-725,8,27,10.67525,-724,9,23,22.57076,-724,11,1,9.13678,-724,12,8,5.2136,1456489.8617,1456883.35735,1456921.7976,1456958.63413,147.45883,156.16186,145.42406,147.45883,42.65055,2.38126,173.50433,175.3064,33.19489,22.52666,212.37192,213.19489,24.73649,41.83159,249.96993,249.50269
-723,10,9,12.7224,-722,10,31,8.35776,-722,12,10,19.8419,-721,1,18,16.90793,1457263.947,1457650.76514,1457691.24364,1457730.1214,190.43322,201.83702,188.94623,190.43322,81.68722,44.55693,210.82535,211.69912,71.59662,65.77052,252.13504,251.59662,62.41071,86.1452,291.57277,289.91633
-721,12,12,1.39911,-720,12,3,21.61185,-719,1,13,20.8523,-719,2,22,18.08139,1458057.47519,1458415.31739,1458456.28574,1458496.17029,252.57142,257.70162,253.14239,252.57142,115.64664,85.2361,245.58652,245.2773,105.6576,106.7064,287.20889,285.6576,96.18896,127.60871,326.99662,324.96966
-718,2,27,11.434,-717,1,9,13.63649,-717,2,18,13.04913,-717,3,30,8.70439,1458865.89331,1459181.98509,1459221.96061,1459261.77958,329.38583,321.36959,331.40668,329.38583,149.68981,127.02391,282.37316,280.94055,140.34228,147.9739,322.35542,320.34228,130.92403,168.84184,1.26416,359.5897
