Venus,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
ML,1439746.5,1439746.619,1439746.743,-771,10,24,5.825,198.53855,0.92546,203.46247,277.80436,0,277.77621,-5.00984
EF,1439798.5,1439799.1,1439799.223,-771,12,15,17.35833,264.57545,-0.98684,256.9893,60.03844,0,65.64653,-5.21094
EL,1440044.5,1440045.177,1440045.301,-770,8,18,19.21694,156.83385,-7.86305,136.79053,92.1959,0,113.05895,-5.19155
MF,1440063.5,1440063.59,1440063.713,-770,9,6,5.11306,147.21711,-8.45637,154.94624,264.40377,0,254.38242,-5.54087
ML,1440317.5,1440317.57,1440317.693,-769,5,18,4.63472,38.15949,-0.65158,47.57999,253.39158,0,245.41132,-5.06439
EF,1440372.5,1440373.191,1440373.315,-769,7,12,19.55472,106.62032,1.25469,100.65814,119.11108,0,122.38303,-5.14191
EL,1440641.5,1440642.156,1440642.28,-768,4,6,18.71056,13.86136,5.9508,8.71981,103.21411,0,98.30155,-6.14097
MF,1440646.5,1440646.6,1440646.724,-768,4,11,5.36694,11.06353,5.21349,12.99046,258.94301,0,260.12183,-5.43118
ML,1440912.5,1440912.66,1440912.783,-767,1,2,6.79639,268.37184,-0.66056,275.11929,299.68346,0,295.13781,-5.03514
EF,1440962.5,1440963.132,1440963.256,-767,2,21,18.14111,331.27578,-1.36279,325.6265,75.04748,0,77.64969,-5.19737
EL,1441220.5,1441221.111,1441221.234,-767,11,6,17.61917,229.85448,-2.98619,217.22281,64.81022,0,76.62816,-5.39274
MF,1441232.5,1441232.634,1441232.757,-767,11,18,6.17278,223.20782,-0.15065,228.9827,289.47717,0,287.63243,-5.47532
ML,1441497.5,1441497.575,1441497.698,-766,8,10,4.76333,123.47062,1.27274,128.41142,244.72487,0,244.02681,-5.05385
EF,1441546.5,1441547.142,1441547.265,-766,9,28,18.36056,185.53211,0.83782,177.49573,88.25079,0,94.5563,-5.06209
EL,1441804.5,1441805.189,1441805.313,-765,6,13,19.50278,81.83664,-2.49063,72.95016,115.45822,0,122.35031,-6.14854
MF,1441818.5,1441818.556,1441818.679,-765,6,27,4.3025,73.95094,-5.14941,85.70902,248.66621,0,236.98625,-5.32617
ML,1442067.5,1442067.64,1442067.763,-764,3,2,6.31639,323.65169,-1.4128,334.2588,288.24363,0,278.78317,-5.02128
EF,1442127.5,1442128.165,1442128.288,-764,5,1,18.91167,38.14136,-0.15254,32.70434,107.17253,0,108.77058,-5.19977
EL,1442396.5,1442397.118,1442397.241,-763,1,25,17.78611,301.40873,7.95238,298.79249,75.13523,0,68.71321,-5.37773
MF,1442398.5,1442398.657,1442398.78,-763,1,27,6.72806,300.44031,8.10184,300.33466,284.93428,0,290.62542,-5.77683
ML,1442665.5,1442665.617,1442665.741,-763,10,21,5.77222,195.43794,0.98734,200.4741,276.29313,0,276.34271,-5.13154
EF,1442717.5,1442718.099,1442718.222,-763,12,12,17.33889,261.49003,-0.92417,253.99168,60.32793,0,65.94532,-5.0598
EL,1442964.5,1442965.178,1442965.301,-762,8,16,19.23444,154.37315,-7.83068,134.89903,93.30316,0,113.64934,-5.02826
MF,1442983.5,1442983.587,1442983.71,-762,9,4,5.04278,144.63914,-8.49237,153.02782,263.42136,0,253.14244,-6.05906
ML,1443236.5,1443236.572,1443236.695,-761,5,15,4.68611,35.16686,-0.72548,44.79309,254.68416,0,246.44807,-5.0526
EF,1443291.5,1443292.191,1443292.314,-761,7,9,19.54444,103.59167,1.21351,97.84234,119.49124,0,122.53969,-5.02526
EL,1443561.5,1443562.154,1443562.277,-760,4,4,18.65361,11.522,6.1348,6.85564,102.29318,0,97.08641,-5.68383
MF,1443565.5,1443565.604,1443565.727,-760,4,8,5.45944,9.34828,5.59109,10.17532,259.35375,0,261.66135,-5.16057
ML,1443832.5,1443832.659,1443832.783,-760,12,31,6.78556,266.54043,-0.62174,273.15046,299.58246,0,295.22281,-5.0119
EF,1443881.5,1443882.13,1443882.254,-759,2,18,18.08833,328.22709,-1.38534,322.72055,73.70558,0,76.36448,-5.01832
EL,1444139.5,1444140.112,1444140.236,-759,11,3,17.65889,227.60185,-3.45883,214.22617,65.04608,0,77.80151,-5.33149
MF,1444152.5,1444152.63,1444152.753,-759,11,16,6.08389,220.44735,-0.43118,226.9987,288.74648,0,286.49733,-6.16978
ML,1444416.5,1444416.573,1444416.696,-758,8,7,4.70861,120.41094,1.23428,125.54131,243.91031,0,242.98741,-5.19526
EF,1444465.5,1444466.144,1444466.268,-758,9,25,18.42389,182.44249,0.90349,174.54028,89.81103,0,95.97394,-5.03712
EL,1444724.5,1444725.188,1444725.311,-757,6,11,19.46583,79.4916,-2.25306,71.09925,115.54184,0,121.86528,-5.96912
MF,1444738.5,1444738.555,1444738.678,-757,6,25,4.27111,71.6159,-4.93615,83.85195,248.76989,0,236.8334,-5.62986
ML,1444987.5,1444987.641,1444987.765,-756,2,29,6.35389,321.84757,-1.40231,332.35646,288.95976,0,279.61314,-5.02456
EF,1445046.5,1445047.162,1445047.286,-756,4,28,18.86056,35.12591,-0.23461,29.89605,105.85752,0,107.4025,-5.00254
EL,1445315.5,1445316.119,1445316.243,-755,1,22,17.82389,299.4464,7.74033,295.8386,74.3951,0,68.62474,-6.29976
MF,1445318.5,1445318.656,1445318.78,-755,1,25,6.71306,297.85147,8.01454,298.38353,285.65913,0,290.91692,-6.08059
ML,1445585.5,1445585.616,1445585.74,-755,10,19,5.75333,193.58554,1.01781,198.48998,275.38889,0,275.51169,-5.00719
EF,1445637.5,1445638.099,1445638.223,-755,12,10,17.34083,259.6429,-0.8909,251.99792,60.53977,0,66.29581,-5.1177
EL,1445883.5,1445884.182,1445884.306,-754,8,13,19.34056,152.20439,-7.63095,132.01736,94.45465,0,115.23865,-5.72647
MF,1445902.5,1445902.588,1445902.712,-754,9,1,5.08306,142.62379,-8.60967,150.11217,262.77452,0,252.55641,-5.06377
ML,1446155.5,1446155.574,1446155.697,-753,5,12,4.73917,32.16229,-0.79704,41.99559,256.01258,0,247.52375,-5.04471
EF,1446211.5,1446212.191,1446212.315,-753,7,7,19.54917,101.78882,1.19085,95.97662,119.6837,0,122.72778,-5.09441
EL,1446481.5,1446482.151,1446482.275,-752,4,2,18.59583,9.16311,6.31389,4.9784,101.35328,0,95.86356,-5.2204
MF,1446485.5,1446485.605,1446485.728,-752,4,6,5.47167,6.98526,5.78031,8.30517,260.2868,0,262.27678,-5.58577
ML,1446751.5,1446751.657,1446751.781,-752,12,28,6.74222,263.44591,-0.54613,270.1545,299.34158,0,295.11458,-5.24256
EF,1446801.5,1446802.129,1446802.253,-751,2,16,18.06889,326.41026,-1.39599,320.79101,72.9213,0,75.66071,-5.10235
EL,1447058.5,1447059.114,1447059.237,-751,10,31,17.69972,225.32028,-3.91392,211.2214,65.3404,0,79.00274,-5.25865
MF,1447071.5,1447071.631,1447071.755,-751,11,13,6.10972,218.23136,-0.96892,223.98652,288.49552,0,286.01437,-5.28383
