Jupiter,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
CS,1435522.5,1435523.607,1435523.731,-782,4,2,5.53833,168.6078,1.76191,3.75684,97.78796,-0.5667,264.08735,-6.17779
EL,1435696.5,1435697.156,1435697.279,-782,9,22,18.70472,182.69961,1.14419,171.37802,90.32313,-0.5667,99.27266,-7.62991
MF,1435722.5,1435722.601,1435722.725,-782,10,18,5.38917,188.33206,1.12649,197.02513,272.40226,-0.5667,272.02123,-9.32369
AR,1435899.5,1435900.16,1435900.283,-781,4,13,18.79833,202.03772,1.41263,14.63602,278.48788,-0.5667,101.34053,-6.4092
CS,1435919.5,1435920.576,1435920.699,-781,5,4,4.77694,199.47897,1.37567,34.16334,82.63709,-0.5667,249.65885,-6.48393
EL,1436092.5,1436093.129,1436093.253,-781,10,23,18.06417,213.85924,0.73279,202.391,75.61339,-0.5667,84.54242,-7.83718
MF,1436119.5,1436119.619,1436119.742,-781,11,19,5.81194,219.87711,0.69458,229.38944,286.84246,-0.5667,284.90283,-9.90694
AR,1436298.5,1436299.175,1436299.299,-780,5,16,19.16583,234.17881,0.60745,46.88631,291.9214,-0.5667,115.08272,-6.03538
CS,1436315.5,1436316.556,1436316.679,-780,6,3,4.30139,231.9773,0.56349,63.42129,68.71342,-0.5667,239.53018,-6.3079
EL,1436491.5,1436492.11,1436492.234,-780,11,25,17.60472,246.92545,0.07568,236.78628,64.13779,-0.5667,71.39844,-7.66822
MF,1436518.5,1436518.638,1436518.762,-780,12,22,6.27667,253.12699,0.02755,263.84524,297.06283,-0.5667,291.83972,-9.94175
AR,1436698.5,1436699.193,1436699.316,-779,6,20,19.58611,268.19817,-0.44634,79.99816,298.98294,-0.5667,123.4534,-6.32734
CS,1436713.5,1436714.553,1436714.677,-779,7,6,4.24111,266.21717,-0.48699,94.69475,61.01965,-0.5667,236.11335,-6.37046
EL,1436892.5,1436893.113,1436893.236,-779,12,31,17.66806,281.84977,-0.63361,273.2192,61.44135,-0.5667,66.51036,-7.59186
MF,1436921.5,1436921.643,1436921.767,-778,1,29,6.39944,288.65769,-0.68029,301.96648,297.63678,-0.5667,287.74018,-9.54456
AR,1437099.5,1437100.195,1437100.318,-778,7,26,19.63778,303.93486,-1.38927,114.34509,294.86414,-0.5667,121.31654,-6.6732
CS,1437114.5,1437115.569,1437115.693,-778,8,11,4.62194,301.91164,-1.4176,129.29044,64.51546,-0.5667,242.96654,-6.78561
EL,1437294.5,1437295.133,1437295.256,-777,2,6,18.14667,318.04039,-1.12378,310.1972,70.26376,-0.5667,73.59127,-7.76192
MF,1437328.5,1437328.617,1437328.74,-777,3,12,5.76806,326.05156,-1.15336,343.19505,286.56388,-0.5667,271.80898,-9.48923
AR,1437501.5,1437502.171,1437502.295,-777,9,1,19.07667,340.42423,-1.8157,150.27419,280.94506,-0.5667,108.43587,-6.53243
CS,1437516.5,1437517.591,1437517.715,-777,9,17,5.15333,338.35639,-1.8189,165.59292,78.09862,-0.5667,258.439,-6.886
EL,1437697.5,1437698.151,1437698.275,-776,3,15,18.58889,354.6458,-1.18252,347.36723,86.49495,-0.5667,88.88841,-7.54349
MF,1437733.5,1437733.577,1437733.701,-776,4,20,4.81611,2.99248,-1.17361,21.53801,269.46892,-0.5667,253.12137,-9.5484
AR,1437902.5,1437903.139,1437903.262,-776,10,6,18.28917,16.48997,-1.5341,185.97477,263.4446,-0.5667,91.39558,-6.4993
CS,1437917.5,1437918.612,1437918.736,-776,10,22,5.6525,14.3939,-1.5119,201.64287,95.59941,-0.5667,275.76661,-6.83555
EL,1438099.5,1438100.168,1438100.291,-775,4,21,18.99083,30.24432,-0.79457,22.82564,103.55951,-0.5667,106.06132,-7.59843
MF,1438132.5,1438132.549,1438132.673,-775,5,24,4.14833,37.68486,-0.75276,53.69609,253.309,-0.5667,239.83425,-9.34536
AR,1438302.5,1438303.111,1438303.234,-775,11,10,17.62472,50.99685,-0.71042,221.2449,248.40409,-0.5667,75.54907,-6.1212
CS,1438316.5,1438317.635,1438317.759,-775,11,25,6.21417,49.03657,-0.67544,236.07246,110.98458,-0.5667,289.29345,-6.29685
EL,1438499.5,1438500.187,1438500.31,-774,5,26,19.44639,64.05784,-0.1442,55.97708,115.96806,-0.5667,119.59551,-7.79502
MF,1438528.5,1438528.539,1438528.663,-774,6,24,3.90889,70.39958,-0.0948,82.98903,242.64608,-0.5667,233.57513,-9.34162
AR,1438700.5,1438701.103,1438701.227,-774,12,13,17.43611,83.72723,0.29958,254.67368,240.52077,-0.5667,66.59353,-6.16441
CS,1438715.5,1438716.653,1438716.776,-774,12,29,6.62611,81.65831,0.33824,270.49936,119.38189,-0.5667,294.1915,-6.606
EL,1438897.5,1438898.2,1438898.324,-773,6,28,19.7675,96.08861,0.52666,87.21195,119.77588,-0.5667,125.12155,-7.68563
MF,1438924.5,1438924.547,1438924.67,-773,7,25,4.08333,101.85931,0.56778,112.54157,240.67176,-0.5667,235.42603,-9.90496
AR,1439097.5,1439098.114,1439098.237,-772,1,14,17.68778,114.90394,1.17189,286.91134,242.17908,-0.5667,66.77135,-6.08385
CS,1439114.5,1439115.652,1439115.776,-772,2,1,6.61861,112.6223,1.20202,304.50993,118.36114,-0.5667,288.85983,-6.70282
EL,1439293.5,1439294.197,1439294.321,-772,7,28,19.70194,126.72865,1.02484,116.80278,114.39236,-0.5667,121.496,-7.5967
MF,1439319.5,1439319.566,1439319.69,-772,8,23,4.55361,132.2364,1.04851,141.57159,247.42194,-0.5667,245.34141,-9.72918
AR,1439493.5,1439494.132,1439494.255,-771,2,13,18.13028,145.27767,1.69262,317.67754,251.71507,-0.5667,75.29376,-6.35076
CS,1439512.5,1439513.633,1439513.757,-771,3,5,6.165,142.79231,1.70229,336.89058,109.32157,-0.5667,276.82862,-6.22237
EL,1439688.5,1439689.179,1439689.302,-771,8,27,19.25667,156.77087,1.23423,145.88359,102.73718,-0.5667,111.16119,-7.6041
MF,1439714.5,1439714.586,1439714.709,-771,9,22,5.02194,162.3144,1.23617,171.13348,259.81794,-0.5667,259.33809,-9.45851
AR,1439889.5,1439890.149,1439890.272,-770,3,16,18.53056,175.6037,1.7531,347.89203,265.58352,-0.5667,88.61114,-6.74064
CS,1439910.5,1439911.601,1439911.725,-770,4,7,5.39,172.91183,1.73498,8.64424,95.69411,-0.5667,261.49958,-6.48696
EL,1440083.5,1440084.153,1440084.276,-770,9,26,18.62222,187.04489,1.10493,175.46519,88.19027,-0.5667,97.36209,-7.75886
MF,1440110.5,1440110.602,1440110.726,-770,10,23,5.41639,192.91913,1.08355,202.18146,274.62948,-0.5667,274.04519,-9.87352
AR,1440286.5,1440287.164,1440287.287,-769,4,17,18.89556,206.64557,1.32341,18.5633,280.64228,-0.5667,103.66192,-7.04824
CS,1440306.5,1440307.573,1440307.696,-769,5,8,4.71139,204.08431,1.2848,38.06116,80.44927,-0.5667,248.17377,-6.27711
EL,1440480.5,1440481.125,1440481.248,-769,10,28,17.95556,218.57802,0.65099,207.54489,73.61341,-0.5667,82.12732,-7.64678
MF,1440506.5,1440506.623,1440506.746,-769,11,23,5.90778,224.39402,0.61218,233.55212,288.63615,-0.5667,286.48651,-9.4923
AR,1440685.5,1440686.18,1440686.304,-768,5,20,19.29139,239.03849,0.46986,50.78292,293.48667,-0.5667,117.1242,-6.863
CS,1440703.5,1440704.552,1440704.676,-768,6,8,4.22194,236.70929,0.4224,68.26574,67.10725,-0.5667,238.08318,-6.68834
EL,1440879.5,1440880.109,1440880.232,-768,11,30,17.57278,251.82704,-0.02656,241.97507,63.07963,-0.5667,69.99288,-7.6075
MF,1440906.5,1440906.64,1440906.764,-768,12,27,6.32972,258.04913,-0.07494,269.01436,297.85876,-0.5667,292.0487,-9.88556
AR,1441086.5,1441087.194,1441087.318,-767,6,25,19.62278,273.18256,-0.59406,84.8627,299.13773,-0.5667,123.83487,-6.33185
CS,1441101.5,1441102.554,1441102.677,-767,7,11,4.25972,271.19704,-0.63375,99.58193,60.77076,-0.5667,236.29973,-6.5604
EL,1441280.5,1441281.115,1441281.239,-766,1,5,17.72444,286.90352,-0.72045,278.37204,62.01778,-0.5667,66.82752,-7.66013
MF,1441310.5,1441310.641,1441310.764,-766,2,4,6.33861,293.95598,-0.76671,308.04244,296.70188,-0.5667,285.87662,-9.67746
AR,1441488.5,1441489.19,1441489.314,-766,8,1,19.52417,308.95047,-1.4888,120.25028,293.41027,-0.5667,119.27296,-6.03923
CS,1441502.5,1441503.573,1441503.696,-766,8,16,4.70389,307.05122,-1.51187,134.27114,65.94584,-0.5667,244.8105,-6.72146
EL,1441682.5,1441683.136,1441683.259,-765,2,11,18.22611,323.15758,-1.1603,315.25265,72.23456,-0.5667,75.41249,-7.90124
MF,1441717.5,1441717.611,1441717.734,-765,3,18,5.62444,331.39309,-1.1858,349.11773,284.31693,-0.5667,268.93478,-9.5818
AR,1441889.5,1441890.167,1441890.29,-765,9,6,18.97167,345.56204,-1.81816,155.31262,278.54378,-0.5667,106.1628,-6.53992
CS,1441904.5,1441905.594,1441905.718,-765,9,22,5.2275,343.48786,-1.81763,170.6895,80.48008,-0.5667,260.93054,-6.84599
EL,1442085.5,1442086.154,1442086.277,-764,3,20,18.65306,359.70576,-1.15272,352.32473,88.96819,-0.5667,91.33665,-7.65383
MF,1442121.5,1442121.572,1442121.696,-764,4,25,4.69833,8.02536,-1.13796,26.41059,267.01095,-0.5667,250.84097,-9.53223
AR,1442290.5,1442291.134,1442291.257,-764,10,11,18.17139,21.45232,-1.44538,191.11278,261.06034,-0.5667,88.8567,-6.39186
CS,1442305.5,1442306.615,1442306.738,-764,10,27,5.71083,19.35599,-1.42003,206.8115,98.00907,-0.5667,277.95478,-7.0219
EL,1442487.5,1442488.17,1442488.294,-763,4,26,19.05056,35.15299,-0.71447,27.7052,105.71166,-0.5667,108.30349,-7.58823
MF,1442520.5,1442520.545,1442520.669,-763,5,29,4.0525,42.56502,-0.66957,58.55023,251.32194,-0.5667,238.05767,-9.61017
AR,1442689.5,1442690.11,1442690.234,-763,11,14,17.61417,55.83938,-0.57482,225.41598,246.73546,-0.5667,74.3373,-6.60424
CS,1442704.5,1442705.638,1442705.761,-763,11,30,6.26361,53.74718,-0.53651,241.2769,112.67773,-0.5667,290.45884,-6.64994
EL,1442887.5,1442888.189,1442888.312,-762,5,31,19.49361,68.79346,-0.04652,60.83343,117.10918,-0.5667,120.86035,-7.59393
MF,1442916.5,1442916.538,1442916.661,-762,6,29,3.87306,75.11462,0.00318,87.86626,241.76262,-0.5667,232.91248,-9.79118
AR,1443087.5,1443088.105,1443088.229,-762,12,17,17.48806,88.3384,0.43438,258.85195,240.17555,-0.5667,66.39377,-6.62166
CS,1443103.5,1443104.653,1443104.777,-761,1,3,6.6375,86.14541,0.47461,275.66401,119.81629,-0.5667,293.85811,-6.88215
EL,1443284.5,1443285.202,1443285.325,-761,7,2,19.80722,100.47092,0.60948,91.13775,119.52697,-0.5667,125.34851,-7.90276
