Venus,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
ML,1442665.74,-763,10,21,5.75556,195.4879,0.98618,200.51433,276.17172,0,276.41185,-5.1164
EF,1442717.226,-763,12,11,17.41333,260.2897,-0.89387,253.01629,61.21605,0,66.49365,-5.09093
EL,1442965.301,-762,8,16,19.22139,154.36084,-7.83672,134.938,93.22561,0,113.34674,-5.72601
MF,1442983.711,-762,9,4,5.05722,144.61628,-8.48821,153.06835,263.56017,0,253.50053,-6.49628
ML,1443239.696,-761,5,18,4.71194,38.8891,-0.61571,47.68736,253.46709,0,246.2099,-5.02533
EF,1443292.311,-761,7,9,19.4525,103.63682,1.21429,97.87739,118.74286,0,121.58389,-5.15664
EL,1443562.276,-760,4,4,18.61333,11.49814,6.12947,6.89286,101.98884,0,96.56801,-5.42221
MF,1443565.729,-760,4,8,5.48722,9.32195,5.58376,10.2152,259.62198,0,262.06309,-5.102
ML,1443832.779,-760,12,31,6.69333,266.58612,-0.62303,273.18744,298.83916,0,294.69691,-5.18194
EF,1443882.256,-759,2,18,18.13806,328.27967,-1.38495,322.76245,74.11328,0,76.57788,-5.12776
EL,1444141.236,-759,11,4,17.65389,227.09972,-3.24526,215.28645,66.07933,0,77.26882,-5.00502
MF,1444152.751,-759,11,16,6.02361,220.42566,-0.42137,227.0373,288.28,0,286.26887,-6.31366
ML,1444416.7,-758,8,7,4.79056,120.46537,1.23511,125.58391,244.56814,0,243.86646,-5.21823
EF,1444464.269,-758,9,23,18.44694,179.98436,0.9613,172.57616,91.036,0,96.5716,-5.02356
EL,1444725.308,-757,6,11,19.38278,79.47084,-2.26173,71.13436,114.90052,0,120.95467,-6.16972
MF,1444737.684,-757,6,24,4.42111,72.11016,-4.79342,82.94099,249.03564,0,238.36657,-5.14656
ML,1444988.762,-756,3,1,6.29444,323.12956,-1.41035,333.37512,288.01122,0,279.04828,-5.17922
EF,1445047.284,-756,4,28,18.815,35.17307,-0.23311,29.93273,105.50357,0,106.85735,-5.06828
EL,1445316.244,-755,1,22,17.86528,299.42019,7.74564,295.88081,74.76323,0,68.72856,-6.01353
MF,1445318.778,-755,1,25,6.66278,297.8274,8.01793,298.42186,285.29107,0,290.73807,-5.92235
ML,1445584.738,-755,10,18,5.70667,192.37355,1.04479,197.51487,274.67643,0,274.98943,-5.2368
EF,1445637.226,-755,12,9,17.41583,258.44249,-0.85988,251.0224,61.44259,0,66.85385,-5.15658
EL,1445885.301,-754,8,14,19.23444,151.88601,-7.79646,133.03084,94.30276,0,113.91023,-5.55433
MF,1445902.712,-754,9,1,5.09944,142.60037,-8.60624,150.15269,262.92924,0,252.89264,-5.50017
ML,1446158.698,-753,5,15,4.75806,35.88427,-0.69043,44.89168,254.72071,0,247.20466,-5.02596
EF,1446211.31,-753,7,6,19.43583,100.59622,1.169,95.05117,119.03259,0,121.65917,-5.02282
EL,1446481.278,-752,4,1,18.67278,9.75043,6.43651,4.05582,101.49725,0,95.90818,-6.52827
MF,1446485.729,-752,4,6,5.49639,6.95908,5.77312,8.34497,260.53269,0,262.67213,-5.53896
ML,1446752.778,-752,12,29,6.68139,264.74625,-0.58368,271.20771,298.71994,0,294.76281,-5.14518
EF,1446802.255,-751,2,16,18.12083,326.46299,-1.39566,320.83306,73.34828,0,75.88934,-5.21522
EL,1447059.24,-751,10,31,17.77194,225.30064,-3.90579,211.26552,65.96117,0,79.35023,-5.76841
MF,1447071.752,-751,11,13,6.05028,218.2094,-0.95906,224.02515,288.03508,0,285.75759,-5.43767
ML,1447336.699,-750,8,5,4.77306,118.65586,1.21287,123.69686,244.12334,0,243.36051,-5.12821
EF,1447384.271,-750,9,21,18.49444,178.15311,0.99311,170.63309,91.93375,0,97.54442,-5.11227
EL,1447645.306,-749,6,9,19.34417,77.12798,-2.02146,69.28815,114.94622,0,120.44531,-5.94916
MF,1447657.683,-749,6,22,4.38917,69.76846,-4.57402,81.08889,249.15689,0,238.2444,-5.48479
ML,1447908.764,-748,2,28,6.33028,321.32931,-1.39983,331.47134,288.70885,0,279.86338,-5.174
EF,1447967.283,-748,4,26,18.80139,33.39418,-0.27565,28.08356,104.74064,0,106.10772,-5.13951
EL,1448236.241,-747,1,20,17.79528,296.82451,7.63824,293.93092,74.04201,0,67.98012,-5.4801
MF,1448237.781,-747,1,22,6.75083,295.85488,7.82072,295.47707,285.95508,0,291.97912,-5.0109
ML,1448504.737,-747,10,16,5.69194,190.53985,1.07348,195.55498,273.79636,0,274.17086,-5.11479
EF,1448556.225,-747,12,6,17.40472,255.35909,-0.79133,248.03096,61.8974,0,67.30325,-5.01755
EL,1448805.302,-746,8,12,19.24667,149.41729,-7.74877,131.1393,95.3646,0,114.44812,-5.38282
MF,1448822.71,-746,8,30,5.03306,140.03606,-8.62007,148.23947,262.00246,0,251.73605,-6.00669
ML,1449077.7,-745,5,12,4.80722,32.89377,-0.76289,42.10514,256.00393,0,248.23807,-5.0272
EF,1449131.31,-745,7,4,19.43806,98.81096,1.1443,93.20023,119.1644,0,121.78596,-5.09226
EL,1449401.276,-744,3,30,18.61972,7.41519,6.60544,2.1961,100.57638,0,94.73493,-6.06258
MF,1449404.733,-744,4,3,5.59056,5.24887,6.12124,5.53222,260.96741,0,264.21429,-5.19964
ML,1449672.778,-744,12,27,6.66944,262.92086,-0.54383,269.24373,298.5627,0,294.7883,-5.10538
EF,1449721.253,-743,2,13,18.07139,323.42146,-1.41125,317.9321,72.10375,0,74.70587,-5.03637
EL,1449978.242,-743,10,28,17.81556,223.02762,-4.34158,208.2763,66.30567,0,80.582,-5.7361
MF,1449991.748,-743,11,11,5.96111,215.4257,-1.23571,222.03995,287.23882,0,284.59141,-6.18764
ML,1450256.698,-742,8,3,4.75694,116.85375,1.18948,121.81633,243.71565,0,242.89226,-5.0361
EF,1450303.273,-742,9,18,18.55333,175.07674,1.05061,167.69925,93.44456,0,98.90225,-5.08104
EL,1450565.304,-741,6,7,19.305,74.81401,-1.77826,67.45403,114.93902,0,119.89892,-5.72673
MF,1450577.682,-741,6,20,4.36139,67.45751,-4.35154,79.2473,249.32488,0,238.17447,-5.81061
ML,1450828.765,-740,2,26,6.36417,319.52665,-1.38808,329.56505,289.38448,0,280.65946,-5.17279
EF,1450887.283,-740,4,24,18.78806,31.61507,-0.31795,26.23712,103.95999,0,105.34127,-5.20773
EL,1451155.243,-739,1,17,17.83194,294.83581,7.38207,290.97009,73.32812,0,67.95278,-6.37031
MF,1451157.78,-739,1,20,6.72833,293.24157,7.70996,293.52098,286.60633,0,292.1872,-5.33528
ML,1451423.735,-739,10,13,5.64417,187.43179,1.12656,192.5692,272.28908,0,272.71933,-5.24158
EF,1451476.225,-739,12,4,17.41194,253.51463,-0.75506,246.03879,62.21136,0,67.74942,-5.08584
