Venus,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long M,lat M,Long Sun,azm M,alt  M,azm S,alt Sun
MF,1441818.68,-765,6,27,4.31583,73.92989,-5.15517,85.74809,248.82146,-0.5667,237.27993,-6.33369
ML,1442066.759,-764,3,1,6.21833,322.46154,-1.40546,333.31326,287.91227,-0.5667,278.48958,-6.16151
EF,1442129.289,-764,5,2,18.94083,39.41983,-0.11144,33.69805,107.66384,-0.5667,109.14177,-6.09625
EL,1442397.245,-763,1,25,17.87056,301.38126,7.95713,298.83643,75.83756,-0.5667,69.16952,-5.61107
MF,1442983.709,-762,9,4,5.01306,144.61731,-8.4884,153.06653,263.21466,-0.5667,253.13637,-7.03999
ML,1443235.696,-761,5,14,4.6925,33.99298,-0.75924,43.87976,255.19817,-0.5667,246.89139,-6.00692
EF,1443294.314,-761,7,11,19.53917,106.11609,1.25488,99.80239,118.843,-0.5667,122.1462,-6.0953
EL,1443562.277,-760,4,4,18.65833,11.49699,6.12921,6.89467,102.33999,-0.5667,96.92518,-5.99493
MF,1443566.723,-760,4,9,5.36056,8.69253,5.40287,11.17123,259.76351,-0.5667,260.78371,-6.42168
ML,1443831.776,-760,12,30,6.61361,265.32954,-0.58726,272.17013,298.35852,-0.5667,294.19394,-6.03149
EF,1443884.26,-759,2,20,18.24917,330.76551,-1.3648,324.74198,75.5371,-0.5667,78.0119,-6.22714
EL,1444141.238,-759,11,4,17.70194,227.09873,-3.24484,215.28849,66.45414,-0.5667,77.62975,-5.60766
MF,1444152.749,-759,11,16,5.97722,220.42677,-0.42188,227.03533,287.92053,-0.5667,285.92784,-6.88336
ML,1444415.696,-758,8,6,4.7075,119.2167,1.21573,124.60683,243.88289,-0.5667,242.98675,-6.01898
EF,1444468.269,-758,9,27,18.44528,185.00431,0.84024,176.58948,88.88572,-0.5667,95.31805,-6.07183
EL,1444726.305,-757,6,12,19.31333,78.89943,-2.4955,72.08416,114.94431,-0.5667,120.4537,-5.29845
MF,1444738.678,-757,6,25,4.28389,71.59526,-4.94205,83.891,248.92316,-0.5667,237.13433,-6.64449
ML,1444986.761,-756,2,28,6.25278,320.65682,-1.39383,331.40986,288.59798,-0.5667,279.29411,-6.1662
EF,1445049.289,-756,4,30,18.92556,37.63348,-0.15451,31.84575,106.92228,-0.5667,108.40494,-6.16426
EL,1445316.246,-755,1,22,17.91083,299.41901,7.74588,295.88271,75.11817,-0.5667,69.05972,-6.55824
MF,1445318.776,-755,1,25,6.61722,297.82859,8.01776,298.41995,284.93597,-0.5667,290.40656,-6.46958
ML,1445583.735,-755,10,17,5.63028,191.10928,1.07219,196.49808,273.71756,-0.5667,274.03823,-6.05149
EF,1445639.229,-755,12,11,17.50417,260.9568,-0.92422,253.0657,61.51292,-0.5667,67.1553,-6.17182
EL,1445885.303,-754,8,14,19.27833,151.88541,-7.79674,133.03263,94.64744,-0.5667,114.27659,-6.0716
MF,1445902.711,-754,9,1,5.055,142.60142,-8.6064,150.15086,262.5832,-0.5667,252.53031,-6.04282
ML,1446154.698,-753,5,11,4.74278,30.98819,-0.8297,41.08144,256.50835,-0.5667,247.95006,-6.00796
EF,1446214.314,-753,7,9,19.54528,104.31235,1.23437,97.93543,119.07415,-0.5667,122.36662,-6.16922
