Saturn,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long M,lat M,Long Sun,azm M,alt  M,azm S,alt Sun
MF,1435762.732,-782,11,27,5.56614,224.53541,1.6957,237.83826,287.03911,-0.5667,285.17923,-13.84829
AR,1435926.299,-781,5,9,19.17077,229.06599,1.88382,39.538,288.35999,-0.5667,112.87994,-8.03528
CS,1435950.677,-781,6,3,4.23644,227.30623,1.85251,62.73856,72.18643,-0.5667,239.29478,-8.17231
EL,1436110.25,-781,11,9,17.99823,232.3488,1.37523,219.7381,70.02126,-0.5667,78.51857,-10.02552
MF,1436138.739,-781,12,8,5.74604,235.67612,1.3471,248.83045,290.99501,-0.5667,287.90665,-13.42998
AR,1436302.307,-780,5,19,19.36389,240.34924,1.4312,49.78629,292.15196,-0.5667,117.2711,-8.79221
CS,1436326.672,-780,6,13,4.13511,238.58476,1.39755,72.97743,68.26472,-0.5667,236.91581,-8.4411
EL,1436486.247,-780,11,19,17.91998,243.54166,0.97694,230.71108,66.54905,-0.5667,74.92321,-10.37736
MF,1436515.745,-780,12,19,5.87673,247.00279,0.94394,260.8162,294.236,-0.5667,289.43168,-13.56879
AR,1436679.312,-779,5,31,19.49377,251.67629,0.91839,60.98113,295.12156,-0.5667,120.62909,-8.65852
CS,1436702.671,-779,6,24,4.09395,249.97454,0.88396,83.24121,65.12849,-0.5667,235.5223,-8.66125
EL,1436863.244,-779,12,1,17.84718,254.96674,0.53477,242.7158,63.92751,-0.5667,71.53758,-10.2158
MF,1436892.75,-779,12,31,6.00701,258.45426,0.49905,272.7675,296.53687,-0.5667,289.92333,-13.30239
AR,1437056.318,-778,6,12,19.62288,263.18336,0.36131,72.17894,297.10095,-0.5667,123.12763,-8.66183
CS,1437078.672,-778,7,5,4.12514,261.54098,0.32704,93.53438,62.97344,-0.5667,235.32379,-8.69901
EL,1437240.244,-778,12,13,17.84758,266.55952,0.06463,254.71477,62.38105,-0.5667,69.31606,-10.19721
MF,1437270.753,-777,1,13,6.06687,270.19775,0.02587,285.67712,297.72056,-0.5667,288.85531,-13.31436
AR,1437434.319,-777,6,25,19.66663,274.85623,-0.22344,84.34923,297.9123,-0.5667,124.00351,-8.01059
CS,1437454.676,-777,7,16,4.23574,273.34305,-0.25517,103.87248,61.99157,-0.5667,236.4646,-8.41061
EL,1437617.247,-777,12,25,17.92301,278.36444,-0.41676,266.68326,62.06978,-0.5667,68.43737,-10.39252
MF,1437649.752,-776,1,27,6.03901,282.27933,-0.45901,299.50133,297.6074,-0.5667,286.07699,-13.46714
AR,1437811.323,-776,7,6,19.75051,286.89133,-0.81126,95.6088,297.4129,-0.5667,124.33002,-8.40105
CS,1437831.681,-776,7,27,4.35353,285.36022,-0.84263,115.23186,62.32323,-0.5667,238.48089,-8.57071
EL,1437995.25,-775,1,6,18.01103,290.54281,-0.89107,279.62125,63.11255,-0.5667,68.61108,-10.06201
MF,1438028.749,-775,2,9,5.96541,294.62308,-0.93454,313.21881,296.11375,-0.5667,282.22493,-13.10804
AR,1438189.322,-775,7,19,19.72053,299.1893,-1.38038,107.88199,295.55723,-0.5667,122.78452,-8.25609
CS,1438208.689,-775,8,8,4.53981,297.71259,-1.40874,126.66043,64.041,-0.5667,241.95595,-8.2488
EL,1438372.259,-774,1,18,18.21026,302.88746,-1.33445,291.48794,65.48847,-0.5667,70.67437,-10.82101
MF,1438409.738,-774,2,25,5.72049,307.50062,-1.38163,328.79029,293.19607,-0.5667,276.06956,-13.50796
AR,1438567.318,-774,8,1,19.64068,311.85953,-1.90046,120.22973,292.36939,-0.5667,120.0712,-8.37159
CS,1438586.696,-774,8,21,4.70708,310.36118,-1.9258,139.1491,67.09831,-0.5667,246.34086,-8.3964
EL,1438751.264,-773,2,1,18.33596,315.78972,-1.72489,305.28125,69.20969,-0.5667,73.64566,-10.25766
MF,1438789.728,-773,3,12,5.479,320.57972,-1.77006,343.23956,289.05174,-0.5667,269.91898,-13.10108
AR,1438946.31,-773,8,15,19.44325,324.84891,-2.34198,133.63064,288.00252,-0.5667,115.5295,-8.09135
CS,1438964.705,-773,9,3,4.90986,323.40409,-2.36142,151.73524,71.39461,-0.5667,251.84333,-8.07881
EL,1439130.27,-772,2,15,18.4841,329.01737,-2.0355,318.96833,74.05794,-0.5667,78.03595,-10.02348
