Mars,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
CS,1442843.5,1442844.59,1442844.714,-762,4,18,5.13331,185.44558,1.30662,19.26441,88.80666,0,256.46503,-6.39955
EL,1443223.5,1443224.188,1443224.311,-761,5,2,19.46258,45.00823,0.4808,32.98914,110.52197,0,113.7752,-11.58651
MF,1443306.5,1443306.539,1443306.662,-761,7,24,3.8911,98.2158,1.04517,111.66037,240.15448,0,233.48713,-11.74736
AR,1443623.5,1443624.188,1443624.311,-760,6,5,19.4757,251.3578,-4.25729,66.07908,302.5085,0,121.42867,-6.69159
CS,1443630.5,1443631.554,1443631.677,-760,6,13,4.25761,249.3444,-4.6987,73.09196,57.32474,0,237.76413,-5.9915
EL,1443990.5,1443991.209,1443991.332,-759,6,7,19.96807,80.99172,1.0316,67.76848,119.76103,0,126.23689,-11.59903
MF,1444068.5,1444068.56,1444068.683,-759,8,24,4.39092,130.36501,1.18027,142.40702,247.02896,0,244.06322,-11.73499
AR,1444435.5,1444436.175,1444436.298,-758,8,26,19.16114,327.43834,-5.68769,144.74057,291.53421,0,110.61274,-6.2256
CS,1444441.5,1444442.583,1444442.706,-758,9,2,4.95106,325.45375,-5.38748,151.0695,67.9542,0,251.7175,-6.80978
EL,1444750.5,1444751.218,1444751.341,-757,7,7,20.19555,111.68054,1.18915,95.97211,118.11075,0,128.76223,-11.67291
MF,1444835.5,1444835.583,1444835.706,-757,9,30,4.94286,166.97088,0.87914,178.75215,262.78377,0,261.51798,-11.74652
AR,1445216.5,1445217.131,1445217.254,-756,10,15,18.09781,25.52716,-0.8628,195.20537,258.95966,0,87.01355,-6.53395
CS,1445228.5,1445229.615,1445229.739,-756,10,28,5.72771,20.79707,-0.26337,207.87668,99.57579,0,278.43671,-6.99276
EL,1445509.5,1445510.21,1445510.334,-755,8,4,20.00746,142.26768,0.96979,123.50732,108.29443,0,123.13249,-11.65103
MF,1445611.5,1445611.61,1445611.733,-755,11,14,5.59788,212.92458,0.06432,224.95016,285.13784,0,282.25576,-11.68022
AR,1445985.5,1445986.107,1445986.231,-754,11,23,17.53334,66.7956,2.43861,234.40455,240.66755,0,71.4254,-6.64688
CS,1445999.5,1446000.644,1446000.767,-754,12,8,6.41381,61.06515,2.88654,249.24681,118.49527,0,292.46544,-6.24503
EL,1446274.5,1446275.183,1446275.306,-753,9,8,19.35206,178.71478,0.32183,157.39627,90.97289,0,108.96121,-11.64006
MF,1446437.5,1446437.627,1446437.751,-752,2,18,6.01572,302.30108,-1.11943,321.52235,295.427,0,279.91553,-11.54727
AR,1446751.5,1446752.108,1446752.231,-752,12,28,17.54765,101.11413,4.19358,270.61147,236.45987,0,65.7308,-6.48943
CS,1446767.5,1446768.655,1446768.778,-751,1,14,6.68013,94.64839,4.38123,287.35037,124.29313,0,292.68695,-6.79336
EL,1447072.5,1447073.127,1447073.251,-751,11,14,18.0192,243.66877,-0.84906,225.51403,63.32966,0,77.4591,-11.54868
MF,1447249.5,1447249.552,1447249.675,-750,5,10,4.20049,18.42829,-0.48863,40.32958,261.76315,0,243.03013,-11.56639
AR,1447517.5,1447518.126,1447518.25,-749,2,2,17.99513,134.85837,4.59657,306.40168,244.60339,0,71.62663,-6.58652
CS,1447534.5,1447535.644,1447535.768,-749,2,20,6.42552,128.18618,4.4344,323.78957,117.58117,0,282.52581,-6.06872
EL,1447898.5,1447899.152,1447899.276,-748,2,18,18.61384,334.10294,-0.80748,322.08164,76.92268,0,80.31591,-11.56707
MF,1448014.5,1448014.531,1448014.654,-748,6,13,3.7079,55.30821,0.317,73.16146,246.23448,0,232.60361,-11.64519
AR,1448288.5,1448289.146,1448289.269,-747,3,14,18.46681,173.1694,3.28276,346.36463,263.10561,0,87.49985,-6.1478
CS,1448304.5,1448305.61,1448305.733,-747,3,31,5.5943,167.22375,2.71949,2.32627,99.1259,0,264.95217,-5.92749
EL,1448684.5,1448685.179,1448685.302,-746,4,14,19.2551,28.13808,0.15265,16.11549,103.33129,0,105.88513,-11.7531
MF,1448773.5,1448773.534,1448773.657,-746,7,12,3.77044,86.18263,0.89446,100.44514,240.0854,0,231.69815,-11.61136
AR,1449073.5,1449074.171,1449074.295,-745,5,8,19.07121,224.85903,-1.32293,38.82119,291.45048,0,112.04102,-6.15238
CS,1449083.5,1449084.566,1449084.69,-745,5,19,4.55504,221.67856,-1.98589,48.72102,68.9764,0,244.46664,-5.76635
EL,1449455.5,1449456.202,1449456.325,-744,5,24,19.80329,67.61362,0.8626,54.80019,117.56595,0,122.69738,-11.788
MF,1449534.5,1449534.551,1449534.674,-744,8,11,4.1835,117.62843,1.17362,130.01561,243.25576,0,239.06444,-11.72505
AR,1449886.5,1449887.19,1449887.313,-743,7,29,19.52329,298.48713,-6.83542,117.75483,303.47588,0,119.70943,-5.75484
CS,1449889.5,1449890.567,1449890.69,-743,8,2,4.56153,297.56438,-6.79482,121.03041,56.32522,0,240.90177,-6.10419
EL,1450218.5,1450219.216,1450219.34,-742,6,26,20.1488,100.34873,1.17235,85.79999,119.81026,0,128.7614,-11.57507
MF,1450299.5,1450299.574,1450299.697,-742,9,15,4.72993,152.25146,1.05352,164.09185,255.82826,0,254.20114,-11.7762
AR,1450678.5,1450678.148,1450678.271,-741,9,28,18.50422,5.93042,-2.66909,177.4331,270.06814,0,95.779,-6.84234
CS,1450687.5,1450688.607,1450688.73,-741,10,9,5.52237,2.15233,-2.11349,187.96268,88.72347,0,269.83824,-6.0806
EL,1450977.5,1450978.215,1450978.338,-740,7,24,20.11329,130.58364,1.09848,113.19761,112.79796,0,125.94272,-11.53285
MF,1451070.5,1451070.598,1451070.721,-740,10,25,5.31383,193.19599,0.44626,204.92839,275.83405,0,274.15319,-11.62149
AR,1451450.5,1451451.111,1451451.235,-739,11,9,17.63378,51.97346,1.38995,220.47945,246.00526,0,75.84639,-6.12704
CS,1451463.5,1451464.633,1451464.757,-739,11,23,6.15799,46.67102,1.89504,234.28243,112.77537,0,288.55467,-6.61577
EL,1451738.5,1451739.196,1451739.319,-738,8,24,19.66465,163.41922,0.62995,142.94482,98.61345,0,115.60256,-11.61636
MF,1451863.5,1451863.634,1451863.757,-738,12,27,6.17639,254.83028,-0.67674,268.70661,298.60309,0,290.93832,-11.62159
AR,1452216.5,1452217.105,1452217.229,-737,12,15,17.49265,88.4038,3.67059,256.72604,236.52279,0,66.73539,-6.77096
CS,1452231.5,1452232.655,1452232.778,-737,12,31,6.67903,82.28491,3.97542,272.53905,123.57834,0,294.45793,-6.15802
EL,1452516.5,1452517.152,1452517.275,-736,10,10,18.6019,211.25584,-0.34141,190.31509,75.10996,0,92.67493,-11.59073
MF,1452708.5,1452708.57,1452708.694,-735,4,20,4.65178,358.76472,-0.83012,21.59667,271.50549,0,251.63057,-11.50223
AR,1452982.5,1452983.117,1452983.241,-734,1,19,17.78081,121.62115,4.60823,292.72447,240.15241,0,67.9525,-6.2944
CS,1452998.5,1452999.653,1452999.777,-734,2,5,6.64421,115.23287,4.5952,309.27537,121.53234,0,287.95491,-5.84626
EL,1453347.5,1453348.136,1453348.259,-733,1,19,18.22194,305.30401,-1.07521,292.49651,65.51738,0,71.267,-11.51334
MF,1453481.5,1453481.535,1453481.659,-733,6,2,3.80823,42.54164,0.02881,62.09427,250.91786,0,235.13266,-11.68833
