Saturn,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
EL,1468903.318,-691,8,21,19.63275,159.80102,0.71172,140.63315,100.14176,0,115.48715,-11.64828
MF,1469014.748,-691,12,11,5.94708,240.41635,-0.44373,253.03515,294.72818,0,289.64678,-11.57409
AR,1469379.229,-690,12,10,17.50277,82.94775,3.42803,252.26071,237.9221,0,67.29559,-6.18934
CS,1469393.771,-690,12,25,6.51053,77.20324,3.74558,267.07453,121.91771,0,293.75504,-6.70884
EL,1469678.279,-689,10,5,18.70228,204.91492,-0.1936,184.89787,78.3322,0,94.77027,-11.58538
MF,1469858.712,-688,4,3,5.07811,344.27309,-0.99486,5.92562,278.41571,0,259.97648,-11.59551
AR,1470144.242,-687,1,13,17.81528,116.62125,4.54592,287.31737,239.67123,0,67.55603,-6.7202
CS,1470160.774,-687,1,30,6.57335,110.20695,4.58596,303.92027,121.77458,0,288.89182,-6.59187
EL,1470501.255,-686,1,5,18.12275,292.20506,-1.11592,279.00146,62.7914,0,69.40345,-11.50778
MF,1470639.668,-686,5,24,4.03042,34.81041,-0.13765,54.18765,254.5408,0,238.96369,-11.67182
AR,1470911.262,-685,2,19,18.298,151.73766,4.2678,323.80751,252.40779,0,78.09886,-6.98263
CS,1470928.752,-685,3,9,6.05107,145.18538,3.9299,340.99737,109.98996,0,274.97713,-6.37325
EL,1471303.289,-684,3,17,18.93233,1.75871,-0.37329,350.05524,90.42949,0,92.33931,-11.55468
MF,1471401.659,-684,6,24,3.81395,68.6887,0.59161,84.19112,243.2434,0,232.88804,-11.61503
AR,1471686.281,-683,4,4,18.73484,194.48283,1.80599,7.23386,274.82501,0,97.65951,-6.91349
CS,1471700.716,-683,4,19,5.18363,189.50801,1.12754,21.10579,86.74396,0,256.59905,-5.76117
EL,1472081.31,-682,5,4,19.44356,47.90195,0.524,35.77667,111.07327,0,114.06528,-11.7672
MF,1472161.669,-682,7,24,4.04569,99.77471,1.0559,112.5418,241.0392,0,235.39778,-11.51952
AR,1472483.31,-681,6,10,19.43343,255.89549,-4.63681,70.76613,302.83479,0,121.32421,-6.744
CS,1472490.68,-681,6,18,4.32042,253.8899,-5.05431,77.79036,56.94644,0,237.96266,-6.30013
EL,1472848.329,-680,6,9,19.9,83.81286,1.05319,70.55423,119.22731,0,125.47291,-11.76534
MF,1472924.688,-680,8,25,4.51298,132.56021,1.17486,144.26274,248.33904,0,246.11394,-11.55104
AR,1473294.293,-679,8,29,19.03984,331.87665,-5.45797,148.56577,288.84467,0,108.35966,-6.3627
CS,1473300.713,-679,9,5,5.12277,329.8595,-5.14611,154.91428,70.62465,0,254.67053,-5.97116
EL,1473609.336,-678,7,10,20.06863,115.13897,1.18316,99.72739,116.66722,0,126.85796,-11.68236
MF,1473692.708,-678,10,2,5.00116,169.89587,0.84551,181.62372,264.3475,0,263.55661,-11.73161
AR,1474075.25,-677,10,19,18.00764,28.68485,-0.58197,199.1013,257.5595,0,84.88654,-6.22141
CS,1474086.741,-677,10,31,5.78637,24.29898,-0.03829,210.77494,101.14529,0,280.07289,-6.38704
EL,1474369.327,-676,8,8,19.83889,146.46188,0.92565,128.2645,106.12558,0,120.21377,-11.67306
MF,1474468.734,-676,11,16,5.60817,216.01087,0.01282,227.85123,286.07914,0,283.46762,-11.55279
AR,1474844.23,-675,11,26,17.52421,69.39406,2.62951,238.3227,240.66273,0,70.23979,-6.16748
CS,1474857.766,-675,12,10,6.38157,64.03758,3.02593,252.14449,118.6723,0,292.6606,-6.23051
EL,1475137.297,-674,9,15,19.11643,185.23518,0.21637,165.21999,87.76609,0,104.25265,-11.51233
MF,1475292.749,-673,2,18,5.97506,303.95731,-1.12004,322.39608,294.32526,0,279.79025,-11.52396
AR,1475610.233,-672,1,1,17.59252,103.56751,4.28143,274.51466,237.52554,0,65.71891,-5.76435
CS,1475624.778,-672,1,16,6.67882,97.85374,4.42913,289.22406,123.24997,0,292.59818,-5.96604
EL,1475939.249,-672,11,25,17.96657,253.89584,-0.94286,237.59831,61.9327,0,73.57772,-11.51976
MF,1476102.679,-671,5,8,4.30622,18.63945,-0.47824,39.31506,261.8511,0,244.59351,-11.5742
AR,1476375.255,-670,2,4,18.12535,137.80128,4.56369,309.26531,246.37116,0,72.98562,-7.07157
CS,1476392.763,-670,2,22,6.30964,131.1359,4.38088,326.63132,115.83438,0,281.07721,-6.47991
EL,1476758.279,-669,2,22,18.69423,338.72841,-0.75299,326.89874,79.33442,0,82.01526,-11.55036
MF,1476868.66,-669,6,13,3.83986,56.23366,0.33419,73.10714,246.53876,0,234.2001,-11.60492
AR,1477146.273,-668,3,16,18.55814,176.52196,3.12578,349.1838,265.01431,0,89.07635,-6.86619
CS,1477162.73,-668,4,2,5.51886,170.59348,2.5451,5.12968,97.15124,0,263.75864,-6.24423
EL,1477543.302,-667,4,17,19.24755,31.77174,0.21075,19.86981,104.60414,0,106.80692,-11.70108
MF,1477628.663,-667,7,12,3.91881,87.75057,0.91083,101.3347,240.79266,0,233.47752,-11.51322
AR,1477932.295,-666,5,11,19.08703,228.9291,-1.67431,42.55759,292.736,0,113.00744,-6.58138
CS,1477942.69,-666,5,22,4.55724,225.79763,-2.34294,52.4512,67.58044,0,243.91005,-6.026
EL,1478314.323,-665,5,28,19.74003,71.11138,0.89915,58.53117,117.56306,0,122.38888,-11.66583
MF,1478390.68,-665,8,13,4.31861,119.82881,1.17682,131.86404,244.48081,0,241.11615,-11.62093
AR,1478745.31,-664,8,1,19.44391,303.2962,-6.79296,121.53103,301.18498,0,118.11928,-6.31546
