Mercury,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
EL,1431535.306,-793,5,1,19.3467,43.50598,-0.16091,31.82139,108.76592,0,111.9666,-11.24468
MF,1431563.671,-793,5,30,4.09345,38.24282,-3.57294,58.82757,257.01425,0,238.71021,-10.22216
ML,1431580.666,-793,6,16,3.9757,60.14873,-0.36373,75.00785,246.2791,0,235.25584,-10.03285
EF,1431607.33,-793,7,12,19.91375,113.1677,1.58355,100.52466,117.58282,0,125.38333,-10.10436
EL,1431649.313,-793,8,23,19.51224,164.11894,-3.56542,141.32887,93.57053,0,114.25955,-10.3989
MF,1431668.703,-793,9,12,4.87092,150.20932,-0.56359,160.51634,257.06739,0,254.53077,-10.009
ML,1431697.718,-793,10,11,5.23852,179.72341,1.36815,189.63206,268.4056,0,268.46714,-10.00154
EF,1431743.244,-793,11,25,17.86027,251.69859,-2.13451,235.97748,60.83331,0,73.16703,-10.052
EL,1431763.247,-793,12,15,17.91968,268.77727,1.47227,256.39223,63.64619,0,69.56114,-10.99853
MF,1431773.759,-793,12,26,6.22347,257.49125,3.61066,267.09487,293.08979,0,291.71132,-10.16189
ML,1431819.758,-792,2,10,6.19639,296.58167,-2.05275,313.35768,297.37875,0,283.84391,-10.21208
EF,1431848.281,-792,3,9,18.74077,351.68384,0.35411,341.44599,86.46797,0,87.50527,-10.19181
EL,1431881.294,-792,4,11,19.05388,23.49827,1.39718,13.39208,102.3628,0,102.7093,-10.19549
MF,1431909.684,-792,5,10,4.41234,18.50142,-3.63723,40.52424,265.32549,0,245.28449,-10.00282
ML,1431926.672,-792,5,27,4.13932,38.79982,-1.49585,56.69509,254.48331,0,239.50763,-10.02179
EF,1431954.328,-792,6,23,19.86697,94.4968,1.83998,83.04345,120.28715,0,125.80317,-10.21845
EL,1431999.322,-792,8,7,19.72873,147.77865,-3.80386,126.41211,100.36718,0,119.62581,-10.16645
MF,1432018.69,-792,8,27,4.56547,133.5013,-1.13469,145.40389,251.28379,0,246.90487,-11.13587
ML,1432043.708,-792,9,21,4.98366,160.22951,1.78171,170.2641,258.88736,0,259.04877,-10.18868
EF,1432093.251,-792,11,9,18.01438,238.22831,-2.29048,220.41554,63.67619,0,78.44194,-10.33063
EL,1432111.246,-792,11,27,17.91573,253.12816,0.2916,238.79348,63.51742,0,72.8928,-10.89645
MF,1432122.751,-792,12,9,6.0331,240.84973,3.27164,250.5401,290.49977,0,290.04161,-10.21259
ML,1432168.763,-791,1,24,6.30408,282.00791,-1.83592,297.14955,299.69636,0,288.42494,-10.33933
EF,1432198.276,-791,2,22,18.63521,337.48914,0.00195,326.49129,79.59807,0,81.43028,-10.84602
EL,1432226.288,-791,3,22,18.91442,4.44664,2.84954,353.86305,95.14736,0,93.7259,-10.86477
MF,1432251.704,-791,4,17,4.89008,356.4018,-2.80594,18.35032,274.70047,0,254.95384,-10.16999
ML,1432272.685,-791,5,8,4.44779,17.86288,-2.33497,38.39057,264.20482,0,246.08672,-10.08757
EF,1432302.321,-791,6,6,19.69801,77.19417,1.8771,66.59563,119.65362,0,123.24843,-10.15013
EL,1432348.33,-791,7,22,19.91082,130.65782,-3.8811,110.65906,106.53406,0,124.09997,-10.45413
MF,1432367.682,-791,8,11,4.36169,117.09183,-1.96049,129.45809,247.47508,0,240.96498,-10.71551
ML,1432390.697,-791,9,3,4.72156,141.8217,1.89798,152.08797,250.92312,0,250.36597,-10.42368
EF,1432441.26,-791,10,23,18.24726,222.08312,-2.37531,202.86121,68.88702,0,85.50497,-10.08096
EL,1432459.25,-791,11,10,18.00842,237.43038,-0.85946,221.18616,65.57386,0,78.17733,-10.3677
MF,1432472.738,-791,11,24,5.70198,223.64171,2.89219,234.95512,285.73185,0,285.6121,-11.67196
ML,1432516.761,-790,1,7,6.27108,266.05945,-1.51214,279.77911,299.91073,0,291.05318,-10.62631
EF,1432547.268,-790,2,6,18.42394,321.38019,-0.53787,310.39866,72.27546,0,75.37549,-10.5536
EL,1432573.278,-790,3,4,18.67425,345.71647,3.50965,336.08243,87.09618,0,85.01197,-10.03577
MF,1432590.729,-790,3,22,5.49633,335.74041,-0.09994,353.08774,281.28416,0,267.1117,-10.1083
ML,1432620.7,-790,4,21,4.80311,0.30646,-2.57679,21.9485,272.61267,0,253.25384,-10.1945
EF,1432651.313,-790,5,21,19.51432,61.54037,1.79041,51.13913,116.61061,0,118.91273,-10.30115
EL,1432697.331,-790,7,6,19.94126,112.69184,-3.84511,95.03221,111.25109,0,126.09227,-10.40937
MF,1432716.674,-790,7,26,4.16908,100.31245,-2.65951,113.66492,245.54774,0,236.64975,-10.34028
ML,1432738.687,-790,8,17,4.47621,124.70324,1.77591,135.09483,245.11696,0,243.28355,-10.3817
EF,1432788.275,-790,10,5,18.60251,204.9035,-2.25919,184.41073,76.07468,0,94.10917,-10.15025
EL,1432806.261,-790,10,23,18.26003,221.58262,-2.02289,202.61692,69.47312,0,85.67777,-10.19008
MF,1432821.731,-790,11,8,5.53335,207.66947,2.27756,218.36333,280.15741,0,280.43695,-10.92741
ML,1432864.757,-790,12,21,6.17135,250.35639,-1.13614,262.27314,297.73497,0,291.45511,-10.21093
EF,1432896.258,-789,1,21,18.20239,305.43644,-1.03314,294.14377,66.19916,0,70.90777,-10.32704
EL,1432920.271,-789,2,14,18.50607,327.996,3.68419,318.09918,79.58789,0,77.9491,-10.42733
MF,1432933.748,-789,2,28,5.94152,318.0017,2.11186,331.39633,286.02066,0,276.95893,-10.12609
ML,1432970.715,-789,4,6,5.16236,346.11062,-2.51598,7.33275,279.21242,0,260.27685,-10.07942
EF,1433000.304,-789,5,5,19.29202,45.65037,1.57989,35.66437,111.51158,0,112.74005,-10.0348
EL,1433045.328,-789,6,19,19.87056,94.02705,-3.46065,78.53698,113.8976,0,125.74094,-10.6291
MF,1433065.668,-789,7,10,4.02926,83.14184,-3.19262,97.99923,245.9194,0,234.44643,-10.02123
ML,1433086.676,-789,7,31,4.21781,107.21318,1.44109,118.27413,241.48729,0,237.67547,-10.48943
EF,1433129.296,-789,9,11,19.11242,179.80535,-1.31348,160.14552,88.68642,0,105.69808,-10.08881
EL,1433153.275,-789,10,5,18.60447,205.33432,-2.7865,184.16703,75.30777,0,94.20147,-10.11092
MF,1433170.724,-789,10,23,5.38425,191.86043,1.50898,201.82929,273.94176,0,274.03714,-10.08083
ML,1433210.747,-789,12,2,5.92699,231.7314,-0.51712,242.64245,292.33342,0,288.4495,-10.21718
EF,1433245.25,-788,1,5,17.99581,289.71887,-1.4565,277.75647,61.89364,0,68.48652,-10.10819
EL,1433268.262,-788,1,28,18.29124,310.72213,3.4661,300.92171,73.01229,0,72.51801,-10.378
MF,1433279.758,-788,2,9,6.186,300.67357,3.20024,312.3903,290.20364,0,284.02249,-10.469
ML,1433320.73,-788,3,21,5.51127,332.23385,-2.42001,352.61642,285.3517,0,267.37012,-10.05316
EF,1433350.299,-788,4,19,19.1712,31.66665,1.39182,21.09912,105.87628,0,106.65058,-10.62992
EL,1433392.321,-788,5,31,19.70178,74.7477,-2.59308,61.14942,113.96848,0,122.52611,-10.91637
MF,1433415.663,-788,6,24,3.92323,65.94577,-3.33281,83.3949,248.41837,0,233.9753,-10.43813
ML,1433434.668,-788,7,13,4.02043,89.4498,0.89408,101.61264,240.76846,0,234.43806,-10.44478
EF,1433468.317,-788,8,15,19.61425,151.06567,0.2059,134.25874,103.41888,0,116.87123,-10.17154
EL,1433501.291,-788,9,17,18.97259,189.28132,-3.1905,166.87573,82.21167,0,102.54174,-10.13458
MF,1433520.713,-788,10,7,5.10912,175.25835,0.91925,186.38481,266.78084,0,266.21627,-11.14979
ML,1433555.735,-788,11,11,5.64469,211.65631,0.2572,221.96066,284.05,0,282.23554,-10.14826
EF,1433595.246,-788,12,20,17.91173,275.9318,-1.71381,262.27941,59.93445,0,68.76408,-10.59237
EL,1433616.255,-787,1,10,18.12184,294.18485,2.87605,283.58158,67.90802,0,69.48065,-10.87028
MF,1433626.763,-787,1,21,6.31952,283.90996,3.69115,294.16226,292.83395,0,289.13445,-10.24931
ML,1433670.743,-787,3,6,5.82868,318.65641,-2.2986,337.77674,290.74911,0,274.23654,-10.04094
EF,1433699.29,-787,4,3,18.9625,15.49824,0.98262,5.49128,98.30148,0,98.81081,-10.04183
EL,1433738.312,-787,5,12,19.47784,55.01851,-1.17358,42.8298,111.37754,0,116.49804,-11.13699
MF,1433764.667,-787,6,8,3.99831,48.47942,-3.53112,67.91385,253.34419,0,236.37776,-10.24281
ML,1433782.665,-787,6,26,3.95656,71.5502,0.18733,85.08398,243.19352,0,234.15614,-10.11808
EF,1433810.328,-787,7,23,19.86893,125.39303,1.274,111.6649,114.0948,0,123.56313,-10.06629
EL,1433850.305,-787,9,1,19.315,173.4719,-3.45755,150.74872,89.37005,0,110.06814,-10.18911
MF,1433869.707,-787,9,21,4.95685,159.42358,0.00863,170.05627,260.44725,0,258.74647,-10.49733
ML,1433899.722,-787,10,21,5.32749,189.80854,1.11357,200.32268,273.41421,0,273.07241,-10.56682
EF,1433944.244,-787,12,4,17.84576,260.63962,-2.00308,245.71895,59.83022,0,70.89869,-10.26416
EL,1433965.246,-787,12,25,17.90374,277.56142,2.25755,267.12051,64.84191,0,68.26164,-10.12324
MF,1433974.763,-786,1,4,6.3076,267.26715,3.72321,276.77133,293.62314,0,291.63667,-10.00792
ML,1434019.753,-786,2,18,6.06459,303.68683,-2.13771,321.81483,295.60464,0,280.60689,-10.51916
EF,1434049.286,-786,3,19,18.86271,1.3348,0.67678,350.74383,91.3538,0,92.06936,-10.58845
EL,1434084.299,-786,4,23,19.18317,34.93671,0.41084,24.46338,106.12979,0,107.99212,-10.31634
MF,1434112.675,-786,5,22,4.20812,30.25408,-3.6402,51.51552,260.25503,0,241.11279,-10.10422
ML,1434128.667,-786,6,7,4.00855,50.03743,-0.98959,66.73104,249.93831,0,236.64465,-10.23707
EF,1434156.33,-786,7,4,19.92008,105.3379,1.71965,93.14467,119.13255,0,126.01753,-10.23181
EL,1434199.318,-786,8,16,19.63442,157.34641,-3.64229,134.77394,96.50864,0,116.9232,-10.49005
MF,1434218.699,-786,9,5,4.78133,143.40142,-0.91573,153.8697,254.68566,0,251.46322,-10.00679
ML,1434245.713,-786,10,2,5.10163,170.60581,1.61974,180.85752,263.84536,0,264.04216,-10.37569
EF,1434293.246,-786,11,18,17.90537,245.6007,-2.20868,229.13668,61.93217,0,75.22795,-10.04239
EL,1434313.244,-786,12,8,17.86261,261.94015,1.15203,249.56002,63.54703,0,70.27886,-10.4768
MF,1434323.755,-786,12,19,6.12865,250.33919,3.49319,260.27428,292.22277,0,291.14956,-10.47124
ML,1434369.761,-785,2,3,6.25817,290.63913,-1.97062,306.69537,298.5539,0,285.95989,-10.23081
EF,1434398.278,-785,3,3,18.66972,345.11787,0.1468,334.89508,83.19943,0,84.55031,-10.13513
EL,1434429.292,-785,4,3,19.00353,15.44846,2.12007,5.03239,99.50607,0,98.95583,-10.61322
MF,1434457.691,-785,5,2,4.57461,9.72661,-3.48526,32.25095,269.16889,0,248.65659,-10.12588
ML,1434474.677,-785,5,19,4.25591,28.96112,-2.00469,48.43234,258.99762,0,242.16795,-10.13565
EF,1434504.327,-785,6,17,19.85714,88.33123,1.87774,76.65886,120.41981,0,125.53857,-10.66879
EL,1434549.325,-785,8,1,19.8117,140.68751,-3.8625,119.91287,103.06802,0,121.64729,-10.215
MF,1434568.686,-785,8,21,4.46943,126.62309,-1.46086,138.81555,249.43946,0,244.17808,-11.10962
ML,1434592.703,-785,9,14,4.88039,152.50883,1.86232,162.57664,255.37968,0,255.34543,-10.23681
EF,1434642.254,-785,11,2,18.09079,230.78064,-2.33722,212.57516,65.87107,0,81.32428,-10.01827
EL,1434661.246,-785,11,21,17.90507,246.38091,-0.04832,231.95169,64.33493,0,74.49152,-10.30364
MF,1434672.747,-785,12,3,5.937,233.8928,3.08669,243.70195,288.84112,0,288.65678,-10.27716
ML,1434718.764,-784,1,18,6.3307,276.16647,-1.74043,290.42225,300.08418,0,289.89828,-10.17528
EF,1434748.273,-784,2,16,18.55871,330.93967,-0.20922,319.87713,76.52415,0,78.83572,-10.82328
EL,1434775.284,-784,3,14,18.80679,356.46793,3.18439,346.38487,91.74318,0,89.91157,-10.41085
MF,1434796.715,-784,4,5,5.16855,347.07347,-1.71759,7.13258,277.906,0,260.38249,-10.06518
ML,1434821.692,-784,4,30,4.59616,9.76043,-2.51756,31.06637,268.11496,0,249.13629,-10.17949
EF,1434852.318,-784,5,30,19.64018,70.89567,1.86024,60.22935,118.70079,0,121.81662,-10.3725
EL,1434898.331,-784,7,15,19.93506,123.20978,-3.89919,104.20896,108.72326,0,125.17481,-10.39284
MF,1434917.678,-784,8,4,4.26636,110.07222,-2.24129,122.93428,246.36672,0,238.84233,-10.69649
ML,1434939.691,-784,8,26,4.58788,133.86639,1.86465,144.49069,247.99276,0,246.82012,-10.72165
EF,1434990.266,-784,10,15,18.38362,214.79938,-2.34736,195.07179,71.77141,0,89.00394,-10.02824
EL,1435008.254,-784,11,2,18.1056,230.86694,-1.40888,213.34932,66.91489,0,81.19957,-10.34252
MF,1435022.734,-784,11,17,5.6148,216.84011,2.66809,228.1242,283.45712,0,283.54638,-11.59092
ML,1435066.761,-784,12,31,6.26855,260.31658,-1.40238,272.99978,299.40863,0,291.69322,-10.19317
EF,1435097.264,-783,1,30,18.34174,314.88979,-0.73688,303.71751,69.63968,0,73.37493,-10.56231
EL,1435122.275,-783,2,24,18.59915,338.1643,3.64872,328.52163,83.85741,0,81.8251,-10.10352
MF,1435137.737,-783,3,12,5.6992,328.10476,0.95534,343.66924,283.37732,0,271.49265,-10.16796
ML,1435170.706,-783,4,14,4.95348,353.83337,-2.57767,15.54149,275.66665,0,256.24749,-10.22264
EF,1435201.31,-783,5,14,19.43487,55.13789,1.72648,44.76708,114.77841,0,116.63801,-10.34802
EL,1435247.328,-783,6,29,19.88329,104.78886,-3.81141,88.61336,112.57811,0,125.88099,-10.03182
MF,1435266.67,-783,7,19,4.09155,93.1419,-2.87782,107.19608,245.37493,0,235.36282,-10.31896
ML,1435288.684,-783,8,10,4.41073,118.41718,1.69441,128.55212,243.49209,0,241.20471,-10.01895
EF,1435335.283,-783,9,25,18.80169,195.06524,-1.97224,174.67331,80.83051,0,98.75537,-10.07954
EL,1435355.267,-783,10,15,18.39675,214.81282,-2.40038,194.82609,71.70736,0,89.18403,-10.13783
MF,1435371.727,-783,11,1,5.45488,200.94473,1.99303,211.54672,277.54494,0,277.8048,-10.7825
ML,1435413.754,-783,12,13,6.09357,243.12589,-0.92092,254.44078,295.96967,0,290.71976,-10.07905
EF,1435446.255,-782,1,14,18.12228,299.03457,-1.20766,287.41054,64.22276,0,69.69963,-10.33861
EL,1435469.269,-782,2,6,18.45848,320.89226,3.58416,310.46559,76.69917,0,75.63641,-10.96832
MF,1435482.751,-782,2,20,6.01285,310.33149,2.5347,323.82456,288.17424,0,279.65906,-10.80383
ML,1435520.721,-782,3,30,5.30935,339.76458,-2.49147,0.88989,282.0935,0,263.32311,-10.1792
EF,1435551.305,-782,4,29,19.31173,41.24064,1.5903,30.24077,109.90886,0,111.12332,-11.0471
EL,1435594.326,-782,6,11,19.82597,86.0524,-3.12254,71.20535,114.30441,0,124.87937,-10.93157
MF,1435615.666,-782,7,3,3.98919,75.85815,-3.33723,91.58659,246.77599,0,234.14104,-10.01156
ML,1435636.674,-782,7,24,4.16407,100.81647,1.29823,111.79545,240.82838,0,236.40454,-10.14087
EF,1435674.306,-782,8,30,19.34719,166.93811,-0.60756,148.56531,95.46575,0,110.93473,-10.05488
EL,1435702.282,-782,9,27,18.7749,198.44541,-2.99607,176.43745,78.17264,0,97.99013,-10.21524
MF,1435721.716,-782,10,17,5.17901,184.34568,1.43909,196.04336,270.50755,0,270.385,-11.78402
ML,1435758.741,-782,11,23,5.79367,223.01608,-0.17076,233.76098,288.96369,0,286.02833,-10.34211
EF,1435795.247,-782,12,29,17.93291,283.41301,-1.60007,270.97461,60.75743,0,68.22122,-10.10469
EL,1435817.261,-781,1,20,18.26366,303.97807,3.16561,293.21166,70.64298,0,71.22325,-11.20205
MF,1435828.76,-781,2,1,6.24943,293.53992,3.46283,304.73189,291.53108,0,286.36204,-10.52047
