Saturn,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
AR,1441226.234,-767,11,11,17.62215,48.86734,-1.91026,222.36568,251.37297,0,75.00657,-5.7224
CS,1441237.755,-767,11,23,6.11144,47.91008,-1.89353,234.12626,108.33007,0,288.40083,-6.49671
EL,1441406.312,-766,5,10,19.4956,53.55544,-1.3133,40.86059,110.78217,0,116.08621,-11.62368
MF,1441443.66,-766,6,17,3.83347,58.41338,-1.26922,76.41111,247.78997,0,233.77764,-11.47933
AR,1441605.229,-766,11,25,17.50795,63.27253,-1.30966,236.40711,246.62689,0,70.52867,-5.80251
CS,1441616.765,-766,12,7,6.35898,62.31681,-1.29032,248.18685,113.17147,0,292.16947,-5.92588
EL,1441786.32,-765,5,25,19.67008,67.87103,-0.7987,54.91365,114.95909,0,121.10668,-11.4557
MF,1441821.66,-765,6,30,3.82826,72.44217,-0.74954,88.59732,244.17268,0,232.7679,-11.54279
AR,1441984.228,-765,12,9,17.47231,77.48018,-0.63642,250.45595,243.35027,0,67.35114,-5.81298
CS,1441996.771,-765,12,22,6.51405,76.44818,-0.61359,263.2406,116.55433,0,293.86654,-6.27027
EL,1442166.325,-764,6,8,19.8112,81.99627,-0.24258,68.95949,117.55032,0,124.5272,-11.0428
MF,1442199.663,-764,7,12,3.90131,86.2716,-0.19329,100.83456,242.15745,0,233.30876,-11.61438
AR,1442363.23,-764,12,22,17.51175,91.40267,0.06134,264.47292,241.79354,0,65.72233,-5.71322
CS,1442375.779,-763,1,4,6.6856,90.38016,0.08434,277.21206,118.24286,0,294.27249,-5.56486
EL,1442545.331,-763,6,22,19.94098,95.74173,0.31623,82.08486,118.37039,0,126.45999,-11.04447
MF,1442577.668,-763,7,25,4.03972,99.84294,0.36314,113.1467,241.87047,0,235.40125,-11.65539
AR,1442741.237,-762,1,4,17.67828,105.05526,0.73639,277.42753,242.02064,0,66.25396,-6.39333
CS,1442755.779,-762,1,19,6.6987,103.88623,0.76159,292.10349,118.16586,0,292.22573,-5.73868
EL,1442923.335,-762,7,5,20.035,109.06668,0.84458,94.2945,117.48193,0,126.99628,-11.38368
MF,1442955.676,-762,8,7,4.21729,113.11527,0.88718,125.53395,243.23889,0,238.86548,-11.66777
AR,1443120.242,-761,1,18,17.79785,118.24117,1.35454,291.32447,243.8547,0,67.72355,-5.89504
CS,1443135.775,-761,2,3,6.60723,117.0106,1.37773,306.88496,116.47286,0,288.44145,-5.92529
EL,1443301.334,-761,7,18,20.02729,122.07482,1.31649,106.55821,115.09323,0,125.72481,-11.4427
MF,1443333.683,-761,8,20,4.40376,126.06998,1.35247,138.01143,246.02454,0,243.38249,-11.72682
AR,1443498.249,-760,1,31,17.98367,131.11018,1.88354,304.12191,247.02689,0,70.8795,-6.13026
CS,1443514.77,-760,2,17,6.4808,129.82068,1.90338,320.54464,113.42512,0,284.02913,-5.52935
EL,1443679.33,-760,7,30,19.92342,134.76368,1.71158,118.89262,111.50893,0,122.84195,-11.31305
MF,1443710.693,-760,8,31,4.63059,138.58779,1.73829,149.60358,249.86347,0,248.77391,-11.09773
AR,1443876.256,-759,2,12,18.14277,143.59756,2.3065,316.82209,251.17373,0,74.93836,-6.08959
CS,1443894.758,-759,3,3,6.1925,142.17692,2.32129,335.06463,109.40784,0,277.7867,-6.07013
EL,1444057.322,-759,8,12,19.73891,147.1506,2.01658,131.30574,107.05532,0,118.64769,-11.05969
MF,1444088.699,-759,9,13,4.77297,150.9315,2.03543,162.26578,254.51533,0,254.33358,-11.51183
AR,1444254.261,-758,2,25,18.26632,155.7385,2.61292,329.42897,255.97462,0,79.63761,-5.76521
CS,1444272.749,-758,3,16,5.9695,154.33764,2.62089,347.52244,104.65163,0,272.43571,-5.64283
EL,1444434.315,-758,8,24,19.55309,159.15005,2.22488,142.82621,102.07889,0,114.23454,-11.19892
MF,1444465.706,-758,9,25,4.93995,162.89243,2.23466,174.01711,259.61043,0,260.11897,-11.33288
AR,1444631.268,-757,3,9,18.42637,167.65215,2.79778,340.96344,261.20182,0,84.91738,-6.22735
CS,1444650.737,-757,3,29,5.69267,166.19561,2.79954,359.8831,99.47692,0,266.65693,-5.58621
EL,1444811.305,-757,9,5,19.32514,170.91637,2.33436,154.42762,96.77511,0,109.14237,-11.23383
MF,1444842.712,-757,10,7,5.07959,174.6273,2.33562,185.84557,264.96719,0,265.78454,-11.42697
AR,1445008.273,-756,3,20,18.55762,179.30865,2.86347,352.4182,266.60968,0,90.34492,-6.46107
CS,1445028.724,-756,4,10,5.38044,177.79641,2.85826,12.16062,94.09827,0,260.66452,-5.87344
EL,1445188.295,-756,9,16,19.07187,182.48736,2.34629,166.11386,91.33836,0,103.60096,-11.18005
MF,1445219.717,-756,10,18,5.19944,186.17447,2.33986,197.74095,270.40073,0,271.1728,-11.77269
AR,1445385.278,-755,4,1,18.66936,190.75895,2.81426,3.79485,272.02829,0,95.7739,-6.51234
CS,1445405.713,-755,4,22,5.11805,189.25968,2.80314,23.4203,88.65551,0,255.46161,-5.89558
EL,1445565.284,-755,9,28,18.80863,193.90495,2.26484,177.88141,85.93109,0,97.82329,-11.0493
MF,1445595.724,-755,10,29,5.36513,197.46049,2.25122,208.67578,275.70237,0,276.22258,-11.42448
AR,1445762.282,-754,4,13,18.77149,202.05607,2.65691,15.10901,277.31375,0,101.06617,-6.42375
CS,1445781.705,-754,5,3,4.92072,200.6367,2.64194,33.69132,83.2975,0,251.19841,-5.60015
EL,1445941.275,-754,10,9,18.61004,205.09974,2.09761,188.70683,80.7492,0,92.81434,-11.37373
MF,1445971.73,-754,11,9,5.52866,208.64658,2.07679,219.64039,280.78754,0,280.76858,-11.18586
AR,1446139.286,-753,4,25,18.87319,213.25678,2.39993,26.37687,282.33331,0,106.08845,-6.2466
CS,1446157.697,-753,5,14,4.73436,211.91429,2.38196,43.93863,78.19194,0,247.22417,-5.50031
EL,1446318.265,-753,10,21,18.36941,216.34876,1.84966,200.59982,75.82708,0,87.1597,-11.16103
MF,1446348.735,-753,11,21,5.6406,219.89667,1.82399,231.64612,285.56257,0,284.52414,-11.84344
AR,1446516.291,-752,5,6,18.98181,224.42247,2.0532,37.60069,286.9518,0,110.71145,-6.05392
CS,1446533.691,-752,5,24,4.57359,223.15419,2.03309,54.16419,73.47616,0,243.72311,-5.52044
EL,1446694.259,-752,10,31,18.2208,227.47482,1.53287,211.53634,71.40723,0,82.62159,-11.50042
MF,1446724.742,-752,12,1,5.81818,231.03043,1.50195,242.64669,289.78642,0,287.69362,-11.52571
AR,1446893.296,-751,5,18,19.10119,235.61418,1.62795,48.8005,291.01842,0,114.79777,-5.90179
CS,1446909.686,-751,6,4,4.45306,234.41693,1.60654,64.39362,69.3032,0,240.87536,-5.59347
EL,1447071.252,-751,11,12,18.05875,238.75626,1.15459,223.51509,67.56719,0,77.89202,-11.33089
MF,1447100.75,-751,12,12,6.00463,242.21318,1.1211,253.63251,293.34348,0,290.06966,-11.00252
AR,1447270.301,-750,5,30,19.23047,246.89434,1.13696,59.99678,294.36175,0,118.20406,-5.84386
CS,1447285.683,-750,6,15,4.38739,245.76516,1.11508,74.64526,65.84689,0,238.88192,-5.6334
EL,1447448.248,-750,11,24,17.95653,250.13213,0.72824,235.51358,64.53617,0,73.97969,-11.23335
MF,1447478.753,-750,12,25,6.08154,253.72967,0.69141,266.62408,296.09201,0,290.76631,-11.78022
AR,1447647.307,-749,6,11,19.36311,258.32669,0.59488,71.19326,296.79245,0,120.79341,-5.94033
CS,1447661.683,-749,6,26,4.38998,257.26416,0.57325,84.91093,63.30019,0,237.96244,-5.51329
EL,1447825.247,-749,12,6,17.92486,261.65405,0.26743,247.52402,62.5061,0,71.10967,-11.25444
MF,1447855.759,-748,1,6,6.20677,265.28284,0.22894,278.5601,297.76011,0,290.75687,-11.31067
AR,1448024.312,-748,6,22,19.4867,269.97085,0.01893,82.41199,298.11817,0,122.43028,-6.21413
CS,1448038.683,-748,7,7,4.39933,268.90054,-0.00344,96.16548,61.86034,0,237.68246,-5.94874
EL,1448202.249,-748,12,17,17.96889,273.36901,-0.212,259.5177,61.6548,0,69.49172,-11.45896
MF,1448233.76,-747,1,18,6.25138,277.15357,-0.25227,291.43732,298.20821,0,289.17023,-11.10994
AR,1448402.313,-747,7,5,19.51499,281.80931,-0.57234,94.62749,298.18494,0,122.34819,-5.88497
CS,1448415.687,-747,7,19,4.48814,280.8027,-0.5931,107.48434,61.68429,0,238.86509,-6.08905
EL,1448580.251,-747,12,30,18.02977,285.44096,-0.69281,272.49171,62.12709,0,68.83576,-11.12277
MF,1448612.758,-746,2,1,6.19846,289.38857,-0.73395,305.2286,297.29385,0,285.88927,-11.09053
AR,1448780.313,-746,7,18,19.50436,293.96754,-1.15371,106.89281,296.89872,0,121.04695,-5.85048
CS,1448792.694,-746,7,31,4.65051,293.02367,-1.17215,118.86638,62.88014,0,241.52642,-5.80347
EL,1448958.256,-745,1,12,18.15359,297.7909,-1.15269,285.4108,63.98173,0,69.80017,-11.00629
MF,1448992.751,-745,2,16,6.03513,302.0276,-1.19493,319.90253,294.96473,0,280.91605,-11.22818
AR,1449158.31,-745,7,31,19.4452,306.48689,-1.69768,119.22527,294.24898,0,118.58102,-6.07467
CS,1449170.7,-745,8,13,4.80089,305.52956,-1.71439,131.29223,65.44024,0,245.16184,-6.00503
EL,1449336.263,-744,1,25,18.32312,310.44542,-1.56845,298.24788,67.16672,0,72.32082,-11.17927
MF,1449372.742,-744,3,2,5.81539,314.97815,-1.60963,334.43442,291.31674,0,275.11431,-11.03585
AR,1449537.303,-744,8,13,19.26622,319.31601,-2.17548,132.62272,290.35402,0,114.26554,-5.8536
CS,1449548.708,-744,8,25,4.9932,318.42204,-2.18816,143.81674,69.29281,0,250.05756,-5.77008
EL,1449714.272,-743,2,6,18.52089,323.41897,-1.91533,310.9981,71.53963,0,76.21964,-11.67435
MF,1449753.729,-743,3,18,5.48522,328.37414,-1.95404,349.80484,286.4767,0,267.99282,-11.20984
AR,1449916.293,-743,8,27,19.04337,332.5397,-2.55312,146.12557,285.36146,0,109.04079,-5.84309
CS,1449927.714,-743,9,8,5.14016,331.63237,-2.5619,157.42516,74.23678,0,255.66394,-6.16997
