Almagest Mars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conjunction,,,,first station,,,,opposition,,,,second station,,,,conjunction,first station,opposition,second station,conjunction,,,,first station,,,,opposition,,,,second station,,,
Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,,,,,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean
-703,1,26,13.77704,-703,12,26,9.64626,-702,2,4,19.72458,-702,3,17,15.44804,1464313.07404,1464646.90193,1464687.32186,1464728.14367,300.65597,298.20811,302.66197,300.65597,139.09767,113.15386,270.7048,269.68851,129.52782,134.33631,311.71268,309.52782,119.62118,155.72938,352.05237,349.76323
-701,4,5,3.00368,-700,2,4,23.00337,-700,3,13,19.77436,-700,4,22,9.26658,1465111.62515,1465417.45847,1465455.32393,1465494.88611,7.73612,356.69658,9.71102,7.73612,174.8017,156.9715,311.35503,309.17622,166.49775,176.81526,348.82159,346.49776,157.17677,197.5482,26.97899,25.49163
-699,5,21,5.38293,-698,3,30,10.75399,-698,5,2,7.41039,-698,6,7,15.72558,1465888.72429,1466201.94808,1466234.80877,1466271.15523,53.67244,43.94292,54.14301,53.67244,221.18424,208.0909,4.48583,2.39686,214.78551,225.31186,35.96291,34.78551,206.79998,244.35957,70.40615,70.60987
-697,6,27,7.13033,-696,6,12,3.32389,-696,7,12,7.10081,-696,8,11,14.80427,1466655.7971,1467006.6385,1467036.79587,1467067.11684,89.72646,85.93488,88.78319,89.72646,290.87126,269.79672,75.12924,75.52812,285.25229,285.60098,103.77373,105.25229,279.5703,301.49099,132.93282,135.13771
-695,7,30,12.99094,-694,8,18,5.21965,-694,9,23,7.58247,-694,10,25,21.69838,1467420.04129,1467803.71749,1467839.81594,1467872.4041,122.9925,126.44447,121.02434,122.9925,4.62573,327.51371,138.86935,141.15729,356.7372,346.43145,174.47892,176.7372,350.42919,3.50959,207.38309,208.85724
-693,9,5,8.21001,-692,10,3,4.30956,-692,11,11,15.51716,-692,12,19,7.78703,1468186.84208,1468580.67957,1468620.14655,1468657.82446,158.77841,168.29387,156.39068,158.77841,55.13593,14.68823,184.87751,186.95853,45.85858,35.37129,225.02295,225.85858,37.63655,55.11676,263.74215,262.99526
-691,10,20,17.29134,-690,11,9,4.74353,-690,12,19,23.69694,-689,1,29,8.08267,1468963.22047,1469347.69765,1469388.48737,1469428.83678,204.00434,215.16251,202.37172,204.00434,93.05524,56.6515,222.00644,222.95861,83.1624,78.02776,263.91618,263.1624,73.63321,99.17325,304.98916,302.9322
-689,12,27,2.04359,-688,12,12,12.55502,-687,1,22,8.4895,-687,3,4,7.97707,1469760.58515,1470112.02313,1470152.85373,1470193.83238,269.9151,273.02921,270.94025,269.9151,126.37149,97.20369,256.77091,256.30476,116.54885,118.60137,298.45438,296.54885,106.59126,140.07663,339.32158,336.93885
-686,3,12,13.04718,-685,1,19,1.31214,-685,2,27,4.96511,-685,4,8,9.89691,1470567.04363,1470879.55467,1470918.70688,1470958.91237,344.78903,335.66161,347.1281,344.78903,160.30175,139.43606,294.61583,292.81093,151.40073,159.95415,333.78766,331.40073,141.7789,181.02423,12.9252,11.02868
-684,5,4,15.21776,-683,3,6,21.69043,-683,4,10,22.88331,-683,5,18,22.41611,1471351.13407,1471657.40377,1471692.45347,1471730.434,37.61623,26.57182,38.69334,37.61623,201.20098,187.07543,341.8598,339.48644,194.03267,205.44356,15.85259,14.03267,185.39504,225.34763,52.0244,51.46762
