Jupiter,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long M,lat M,Long Sun,azm M,alt  M,azm S,alt Sun
EL,1447673.32,-749,7,7,19.69167,105.04828,0.68922,96.05232,118.31575,-0.5667,123.77736,-7.76158
MF,1447698.68,-749,8,2,4.31111,110.5876,0.72524,120.52499,242.54488,-0.5667,238.84776,-9.82662
AR,1447872.248,-748,1,22,17.94333,123.79833,1.35707,295.18911,244.96409,-0.5667,69.20281,-7.05326
CS,1447890.77,-748,2,10,6.47028,121.40266,1.38398,313.68906,115.74122,-0.5667,285.76031,-6.75797
EL,1448069.313,-748,8,6,19.50917,135.5485,1.11544,125.76496,110.92071,-0.5667,117.83581,-7.59767
MF,1448093.699,-748,8,31,4.77028,140.8445,1.13279,149.69015,251.03941,-0.5667,250.00767,-9.42471
AR,1448269.261,-747,2,22,18.26667,153.95129,1.75821,326.79866,255.76768,-0.5667,78.78858,-6.15205
CS,1448288.747,-747,3,14,5.9325,151.47924,1.76023,345.89531,105.30566,-0.5667,272.63214,-6.56689
EL,1448464.293,-747,9,5,19.02056,165.58596,1.23166,154.99568,98.4171,-0.5667,106.4117,-7.64842
MF,1448489.714,-747,10,1,5.13333,171.15109,1.22775,180.39095,264.17666,-0.5667,264.12423,-9.88692
AR,1448665.276,-746,3,25,18.61667,184.38398,1.68029,356.85887,269.92359,-0.5667,92.57401,-6.67477
CS,1448685.718,-746,4,15,5.22722,181.81921,1.65696,16.55286,91.25885,-0.5667,258.20603,-6.50908
EL,1448860.265,-746,10,6,18.36583,196.21329,1.00641,185.73358,83.86448,-0.5667,91.83347,-7.47404
MF,1448884.731,-746,10,31,5.54333,201.67994,0.98153,210.53729,278.62027,-0.5667,278.15686,-9.46589
AR,1449063.287,-745,4,27,18.89694,215.59778,1.12123,28.35796,284.33257,-0.5667,106.97344,-6.26827
CS,1449081.693,-745,5,16,4.62972,213.28051,1.08198,45.90732,76.55233,-0.5667,245.90947,-6.343
EL,1449257.242,-745,11,7,17.8175,228.00723,0.47788,217.94239,70.39127,-0.5667,77.72231,-7.50323
MF,1449281.749,-745,12,2,5.98417,233.63581,0.4376,242.965,291.4447,-0.5667,288.90127,-9.55661
AR,1449462.304,-744,5,30,19.29917,248.42792,0.1843,60.52914,295.4131,-0.5667,118.86687,-6.54271
CS,1449478.68,-744,6,16,4.3125,246.3407,0.1408,76.12041,64.95392,-0.5667,238.08038,-6.40453
EL,1449656.235,-744,12,10,17.62917,261.58168,-0.22652,252.39706,62.30563,-0.5667,68.16056,-7.66238
MF,1449681.765,-743,1,5,6.36611,267.60414,-0.2726,278.35505,298.05256,-0.5667,291.87913,-9.39327
AR,1449863.315,-743,7,5,19.56306,283.03977,-0.87296,94.65946,298.01405,-0.5667,122.75268,-6.40594
CS,1449877.687,-743,7,20,4.485,281.17,-0.90792,108.48507,61.73414,-0.5667,238.9182,-6.24722
EL,1450057.247,-742,1,15,17.93,296.94978,-0.87595,288.69436,64.48875,-0.5667,68.45725,-7.86544
MF,1450086.758,-742,2,14,6.1975,304.01595,-0.9165,318.19403,293.70084,-0.5667,282.57093,-9.46439
AR,1450265.306,-742,8,11,19.33778,319.12194,-1.64642,130.20192,289.46607,-0.5667,115.4136,-6.28991
CS,1450279.705,-742,8,26,4.92,317.20994,-1.66359,144.31915,69.8007,-0.5667,249.60524,-6.73098
EL,1450460.265,-741,2,22,18.365,333.56853,-1.20582,326.3572,76.91551,-0.5667,79.3851,-7.45059
MF,1450493.725,-741,3,28,5.39167,341.5469,-1.22029,359.02723,279.5569,-0.5667,264.52416,-9.69497
AR,1450667.278,-741,9,17,18.66083,355.59994,-1.78293,166.46222,273.63845,-0.5667,100.13269,-6.11322
CS,1450681.724,-741,10,2,5.37333,353.64835,-1.77425,180.94402,85.45272,-0.5667,266.24398,-6.89885
EL,1450862.282,-740,3,30,18.76278,9.76952,-1.06899,2.22411,93.78625,-0.5667,95.88427,-7.89456
MF,1450895.691,-740,5,3,4.59472,17.58265,-1.04365,34.26366,262.59221,-0.5667,248.32846,-9.38757
AR,1451067.249,-740,10,21,17.98083,31.29013,-1.24006,201.44388,256.83861,-0.5667,83.93497,-6.38347
CS,1451081.744,-740,11,5,5.86167,29.32505,-1.21177,216.18986,102.37246,-0.5667,282.24892,-6.40264
EL,1451264.296,-739,5,6,19.10944,44.91792,-0.54209,37.47113,109.19717,-0.5667,111.72836,-7.59383
MF,1451293.671,-739,6,5,4.10861,51.60179,-0.49604,65.43461,248.51356,-0.5667,237.73018,-9.30739
AR,1451466.231,-739,11,24,17.54944,65.1586,-0.29293,235.83034,244.63113,-0.5667,70.98594,-6.27921
CS,1451480.765,-739,12,9,6.34944,63.205,-0.2558,250.67007,114.96951,-0.5667,292.30952,-6.41499
EL,1451663.314,-738,6,9,19.52556,77.96592,0.14454,69.61873,118.02701,-0.5667,122.02969,-7.90047
MF,1451689.67,-738,7,6,4.07028,83.80785,0.19016,94.79517,241.42229,-0.5667,234.81308,-9.36956
AR,1451863.234,-738,12,26,17.62694,97.28173,0.69192,268.21649,240.87998,-0.5667,66.2567,-6.77283
CS,1451879.775,-737,1,12,6.60333,95.10052,0.72946,284.96944,119.29289,-0.5667,292.71346,-6.83759
EL,1452060.321,-737,7,11,19.70722,109.32926,0.76198,99.98444,117.72127,-0.5667,123.57501,-7.90627
MF,1452085.682,-737,8,6,4.37889,114.85416,0.79577,124.50231,243.33923,-0.5667,240.13651,-9.70788
AR,1452260.248,-736,1,27,17.94306,127.95878,1.43721,300.28019,246.13831,-0.5667,69.93263,-6.26483
CS,1452277.769,-736,2,14,6.45417,125.69591,1.45955,317.74102,114.58892,-0.5667,284.5871,-6.3269
EL,1452456.311,-736,8,10,19.45972,139.71801,1.14978,129.75269,109.40881,-0.5667,116.5514,-7.63254
