Almagest Venus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sup conj,,,,greatest elong (east),,,,first station,,,,inf conj,,,,second station,,,,greatest elong(west),,,,Sup conj,greatest elong (east),first station,inf conj,second station,greatest elong(west),Sup conj,,,,greatest elong (east),,,,first station,,,,inf conj,,,,second station,,,,greatest elong (west),,,,,greatest elongations,
Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,,,,,,,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,,east,west
-766,9,2,0.50555,-765,3,31,0.61463,-765,5,23,12.88733,-765,6,13,5.9436,-765,7,5,15.19563,-765,8,24,6.35518,1441520.52106,1441730.52561,1441784.03697,1441804.74765,1441827.13315,1441876.7648,155.51167,155.51167,153.12572,155.51167,49.09249,2.49956,4.58649,2.49956,83.27111,55.24224,55.65106,55.24224,75.65543,75.65542,75.25152,75.65542,66.95211,97.71936,96.49044,97.71936,98.09822,146.63806,144.29568,146.63806,,46.592929999999996,-48.53984
-764,3,30,4.01422,-764,11,17,6.21007,-763,1,2,15.48191,-763,1,24,23.84033,-763,2,12,23.45532,-763,4,8,10.95686,1442095.66726,1442327.75875,1442374.14508,1442396.49335,1442415.4773,1442469.95654,2.39605,2.39605,4.48504,2.39605,278.54382,231.15361,230.53675,231.15361,307.38078,276.87361,278.16172,276.87361,298.90086,298.90085,300.86524,298.90085,292.48562,317.61211,319.91212,317.61211,327.67646,11.30876,13.19834,11.30876,,47.390209999999996,-43.63229999999999
-763,11,8,4.58698,-762,6,8,14.81284,-762,8,2,9.43241,-762,8,21,10.75049,-762,9,12,23.31794,-762,10,29,10.67719,1442683.69112,1442896.1172,1442950.89302,1442969.94794,1442992.47158,1443038.94488,221.97311,221.97311,220.98195,221.97311,115.19954,71.34775,71.11464,71.34775,150.59034,125.33673,123.31606,125.33673,144.11793,144.11793,141.79802,144.11793,135.50222,166.31802,163.95592,166.31802,164.37874,212.12375,210.76292,212.12375,,43.851789999999994,-47.74501000000001
-761,6,17,18.34296,-760,1,24,9.28807,-760,3,13,11.63017,-760,4,5,0.39258,-760,4,25,11.21344,-760,6,18,9.52828,1443270.26429,1443490.887,1443539.98459,1443562.51636,1443582.96723,1443636.89701,80.12032,80.12032,79.54153,80.12032,346.21559,297.57385,299.50546,297.57385,16.9599,345.96616,348.29495,345.96616,8.17428,8.17427,10.13908,8.17427,0.73516,28.33136,29.72743,28.33136,35.25805,81.48646,80.85475,81.48646,,48.64174000000003,-46.22841
-759,1,13,22.23212,-759,8,28,9.11185,-759,10,17,4.63887,-759,11,6,1.67175,-759,11,26,7.95251,-758,1,14,4.74464,1443846.42634,1444072.87966,1444122.69329,1444142.56966,1444162.83135,1444211.69769,288.00596,288.00596,289.6693,288.00596,195.11839,151.20634,148.83453,151.20634,226.7728,200.30441,198.55954,200.30441,219.89527,219.89526,218.82297,219.89526,212.78874,239.86591,239.62091,239.86591,243.69795,288.03029,289.69439,288.03029,,43.912049999999994,-44.33233999999999
-758,8,30,18.13495,-757,3,28,22.13896,-757,5,21,7.5048,-757,6,11,2.25385,-757,7,3,10.44215,-757,8,22,5.10727,1444440.25562,1444650.42246,1444703.8127,1444724.59391,1444746.93509,1444796.7128,153.30505,153.30505,150.92469,153.30505,47.14138,0.4529,2.57922,0.4529,81.22187,53.07621,53.57016,53.07621,73.5589,73.5589,73.23792,73.5589,64.88131,95.57915,94.42482,95.57915,96.13764,144.64182,142.31688,144.64182,,46.68848,-48.50417999999999
-756,3,27,15.98511,-756,11,14,21.93849,-756,12,31,7.05485,-755,1,22,14.12128,-755,2,10,13.42455,-755,4,5,22.67445,1445015.16605,1445247.4141,1445293.79395,1445316.08839,1445335.05936,1445389.44477,359.95705,359.95705,2.09252,359.95705,276.15655,228.86893,228.15682,228.86893,304.99619,274.58254,275.7862,274.58254,296.55672,296.55672,298.46245,296.55672,290.15204,315.25518,317.52645,315.25518,325.27713,8.85936,10.80819,8.85936,,47.287619999999976,-43.58222999999998
-755,11,6,1.42548,-754,6,6,4.07268,-754,7,31,0.12197,-754,8,19,2.10315,-754,9,10,15.59382,-754,10,27,3.99937,1445603.55939,1445815.6697,1445870.50508,1445889.58763,1445912.14974,1445958.66664,219.89829,219.89829,218.82612,219.89829,112.88002,68.96168,68.82373,68.96168,148.31001,123.00938,121.04083,123.00938,141.81782,141.81781,139.52222,141.81781,133.1702,164.05582,161.68165,164.05582,162.07309,209.90452,208.46614,209.90452,,43.91834,-47.83142999999998
-753,6,15,5.5058,-752,1,22,7.63856,-752,3,11,6.63151,-752,4,2,20.24396,-752,4,23,5.44422,-752,6,16,6.25372,1446189.72941,1446410.81827,1446459.77631,1446482.3435,1446502.72684,1446556.76057,77.64813,77.64813,77.16586,77.64813,344.22134,295.56112,297.44089,295.56112,14.86263,343.81589,346.16273,343.81589,6.05892,6.0589,8.07142,6.0589,358.6666,26.14945,27.61595,26.14945,33.27735,79.407,78.85597,79.407,,48.66021999999998,-46.12965
-751,1,11,16.70837,-751,8,25,16.09157,-751,10,14,16.66335,-751,11,3,11.87897,-751,11,23,20.23115,-750,1,11,12.42274,1446766.19618,1446992.17048,1447042.19431,1447061.99496,1447082.34296,1447131.01761,285.83412,285.83412,287.42922,285.83412,192.39858,148.56236,146.20579,148.56236,224.21733,197.86761,196.05311,197.86761,217.38383,217.38383,216.2156,217.38383,210.22544,237.43954,237.08992,237.43954,240.98251,285.415,286.99663,285.415,,43.83622,-44.43249000000003
