Almagest Saturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conjunction,,,,first station,,,,opposition,,,,second station,,,,conjunction,first station,opposition,second station,conjunction,,,,first station,,,,opposition,,,,second station,,,
Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,,,,,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean
-769,4,11,10.2093,-769,8,11,1.8792,-769,10,18,4.67798,-769,12,25,8.86573,1440280.92539,1440402.5783,1440470.69492,1440538.86941,13.72244,16.85044,15.55049,13.72244,24.42593,20.92442,131.44746,133.62784,20.76598,23.20554,199.03469,200.76598,17.09795,25.48861,268.90925,267.96116
-768,4,25,0.04207,-768,8,24,18.51455,-768,10,31,20.04085,-767,1,7,22.12498,1440660.50175,1440782.27144,1440850.33504,1440918.42187,27.84629,29.5619,29.25818,27.84629,38.62159,33.63979,145.51505,147.86679,34.95267,35.91914,213.69395,214.95267,31.28052,38.19926,283.5321,282.06146
-767,5,9,16.39893,-767,9,8,11.06431,-767,11,15,12.83274,-766,1,22,14.27512,1441040.18329,1441161.96101,1441230.0347,1441298.0948,42.07381,42.27688,42.98832,42.07381,52.87032,46.35503,159.72066,162.10223,49.19806,48.63472,228.49959,229.19806,45.52768,50.91396,298.17908,296.28049
-766,5,24,9.05672,-766,9,23,1.29512,-766,11,30,4.79041,-765,2,6,7.10782,1441419.87736,1441541.55396,1441609.6996,1441677.79616,56.31369,54.99228,56.68019,56.31369,67.07886,59.06705,173.97744,176.24243,63.40918,61.34915,243.31781,243.40918,59.74635,63.6296,312.72917,310.52755
-765,6,7,23.76453,-765,10,7,11.1482,-765,12,14,17.72717,-764,2,20,22.38599,1441799.49019,1441920.96451,1441989.23863,1442057.43275,70.47348,67.70496,70.2752,70.47348,81.15772,71.77295,188.19308,190.20285,77.49624,74.05935,258.01303,257.49624,73.84592,76.34308,327.07292,324.71077
-764,6,21,10.44846,-764,10,20,14.91948,-764,12,28,1.72483,-763,3,6,10.04136,1442178.93535,1442300.12165,1442368.57187,1442436.91839,84.46802,80.41202,83.72192,84.46802,95.0291,84.47037,202.27804,203.9135,91.38046,86.76267,272.46254,271.38046,87.74631,89.0515,341.12177,338.7452
-763,7,5,15.38166,-763,11,3,11.36596,-762,1,11,3.2753,-762,3,20,16.33057,1442558.1409,1442678.97358,1442747.63647,1442816.18044,98.22639,93.11106,96.98002,98.22639,108.63243,97.15757,216.15282,217.32334,104.9999,99.45699,286.56812,284.9999,101.38404,101.75243,354.81297,352.55926
-762,7,19,13.29337,-762,11,16,23.75585,-761,1,24,21.355,-761,4,3,15.94533,1442937.05389,1443057.48983,1443126.38979,1443195.16439,111.69639,105.8003,110.02252,111.69639,121.92718,109.83353,229.75399,230.4023,118.31254,112.14089,300.26254,298.31254,114.71554,114.44405,8.11083,6.09921
-761,8,2,3.40952,-761,11,30,3.85326,-760,2,7,7.43516,-760,4,16,8.04241,1443315.64206,1443435.66055,1443504.8098,1443573.8351,124.84625,118.47867,122.83631,124.84625,134.8931,122.49791,243.03768,243.14071,131.29665,124.81362,313.51068,311.29665,127.71775,127.12518,21.00416,19.33042
-760,8,14,9.43691,-760,12,11,23.87212,-759,2,19,9.44463,-759,4,29,16.23149,1443693.8932,1443813.49467,1443882.89353,1443952.17631,137.66392,131.14575,135.42128,137.66392,147.52846,135.15103,255.98118,255.54735,143.94931,137.47509,326.30656,323.94931,140.38674,139.79527,33.50237,32.23686
