Mercury,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
ML,1432390.5,1432390.571,1432390.694,-791,9,3,4.65982,141.7461,1.89843,152.04548,250.42441,0,249.44283,-10.42542
EF,1432443.5,1432444.134,1432444.258,-791,10,26,18.18558,226.0054,-2.4418,205.86698,66.81601,0,84.47133,-10.14116
EL,1432457.5,1432458.126,1432458.249,-791,11,9,17.98787,237.52149,-1.11963,220.12398,64.6199,0,78.70434,-10.37784
MF,1432472.5,1432472.616,1432472.74,-791,11,24,5.75486,223.67607,2.88764,234.91618,286.1304,0,285.57239,-11.58724
ML,1432516.5,1432516.642,1432516.765,-790,1,7,6.36631,266.0014,-1.50937,279.74234,300.68508,0,291.37672,-10.26317
EF,1432546.5,1432547.142,1432547.265,-790,2,6,18.366,321.2983,-0.5453,310.35613,71.80221,0,75.31375,-10.38407
EL,1432572.5,1432573.154,1432573.278,-790,3,4,18.66973,345.73359,3.51131,336.04273,87.0375,0,85.33747,-10.16191
MF,1432592.5,1432592.603,1432592.726,-790,3,24,5.42546,335.55339,-0.58361,354.98486,282.17854,0,265.60323,-10.30305
ML,1432617.5,1432617.578,1432617.701,-790,4,18,4.82738,355.74254,-2.79029,19.03821,275.11277,0,253.86374,-10.1641
EF,1432650.5,1432651.193,1432651.316,-790,5,21,19.59524,61.46545,1.78777,51.10396,117.26671,0,119.97654,-10.16148
EL,1432695.5,1432696.214,1432696.338,-790,7,5,20.10019,112.92444,-3.66083,94.04107,111.95329,0,127.97356,-10.76514
MF,1432717.5,1432717.544,1432717.667,-790,7,27,4.00936,100.21298,-2.38297,114.58776,244.58168,0,234.92895,-10.96174
ML,1432738.5,1432738.56,1432738.683,-790,8,17,4.39417,124.62298,1.77409,135.05196,244.46666,0,242.18533,-10.33094
EF,1432791.5,1432792.148,1432792.272,-790,10,9,18.51971,209.98205,-2.50488,188.40191,73.20679,0,92.56627,-10.0379
EL,1432803.5,1432804.138,1432804.262,-790,10,21,18.28308,221.01805,-2.30091,200.54541,68.86335,0,86.88084,-10.1484
MF,1432821.5,1432821.609,1432821.732,-790,11,8,5.56906,207.70497,2.27008,218.32373,280.4233,0,280.29619,-10.85524
ML,1432863.5,1432863.635,1432863.758,-790,12,20,6.19432,248.73009,-1.03862,261.21488,298.01582,0,291.26111,-10.57475
EF,1432895.5,1432896.132,1432896.255,-789,1,21,18.12394,305.35586,-1.0395,294.09997,65.56969,0,70.69252,-10.08912
EL,1432919.5,1432920.147,1432920.27,-789,2,14,18.47932,328.01589,3.68126,318.05811,79.34456,0,78.11901,-10.53979
MF,1432934.5,1432934.623,1432934.747,-789,3,1,5.91862,317.52509,1.8716,332.3377,286.86387,0,276.13037,-10.43597
ML,1432968.5,1432968.593,1432968.716,-789,4,4,5.18656,342.87224,-2.60577,5.36885,281.06026,0,260.66118,-10.03556
EF,1433000.5,1433001.187,1433001.311,-789,5,6,19.46017,47.63223,1.68341,36.58572,112.87703,0,114.89176,-10.99159
EL,1433044.5,1433045.208,1433045.331,-789,6,19,19.94912,94.03895,-3.45272,78.50162,114.50681,0,126.79039,-10.18564
MF,1433066.5,1433066.538,1433066.662,-789,7,11,3.88337,83.22228,-2.9533,98.91557,245.01407,0,232.78389,-10.33615
ML,1433086.5,1433086.548,1433086.672,-789,7,31,4.12237,107.12963,1.43663,118.23116,240.74284,0,236.45761,-10.34983
EF,1433134.5,1433135.169,1433135.293,-789,9,17,19.02495,187.91712,-1.96871,166.08413,84.02517,0,103.58678,-10.08462
EL,1433149.5,1433150.155,1433150.278,-789,10,2,18.68307,203.81308,-2.8903,181.10705,75.52691,0,96.17172,-10.08546
MF,1433170.5,1433170.602,1433170.725,-789,10,23,5.40149,191.89699,1.49872,201.78909,274.06342,0,273.78535,-10.00005
ML,1433210.5,1433210.626,1433210.75,-789,12,2,5.99403,231.6735,-0.51309,242.60412,292.86583,0,288.57453,-10.07539
EF,1433245.5,1433246.126,1433246.249,-788,1,6,17.98283,291.40816,-1.34351,278.72745,61.63545,0,68.7534,-10.60619
EL,1433267.5,1433268.137,1433268.26,-788,1,28,18.2442,310.74645,3.45928,300.8794,72.59925,0,72.53752,-10.45002
MF,1433279.5,1433279.637,1433279.76,-788,2,9,6.25174,300.70096,3.2072,312.35292,290.68598,0,284.14835,-10.17953
ML,1433318.5,1433318.607,1433318.731,-788,3,19,5.53815,328.91282,-2.45438,350.63778,287.21664,0,267.78636,-10.20806
EF,1433349.5,1433350.177,1433350.301,-788,4,19,19.21521,31.58735,1.38641,21.06228,106.22072,0,107.39795,-10.55023
EL,1433391.5,1433392.201,1433392.324,-788,5,31,19.78065,74.7596,-2.58362,61.11417,114.58363,0,123.59301,-10.60698
MF,1433416.5,1433416.535,1433416.659,-788,6,25,3.8042,66.32702,-3.12785,84.30713,247.55504,0,232.47835,-10.38972
ML,1433434.5,1433434.54,1433434.663,-788,7,13,3.92287,89.36533,0.88717,101.56995,240.01894,0,233.21151,-10.19201
EF,1433470.5,1433471.195,1433471.319,-788,8,18,19.64557,155.592,-0.15191,137.16017,101.33958,0,116.8155,-10.13742
EL,1433497.5,1433498.172,1433498.295,-788,9,14,19.08796,187.75301,-3.10987,163.84687,82.8506,0,104.78527,-10.22993
MF,1433520.5,1433520.589,1433520.713,-788,10,7,5.10482,175.28833,0.90771,186.34393,266.73198,0,265.75195,-11.0495
ML,1433555.5,1433555.613,1433555.737,-788,11,11,5.6846,211.59672,0.26161,221.92122,284.35798,0,282.1571,-10.09303
EF,1433594.5,1433595.119,1433595.242,-788,12,20,17.81081,275.85754,-1.7177,262.23409,59.14025,0,68.40664,-10.17513
EL,1433615.5,1433616.129,1433616.252,-787,1,10,18.0577,294.21042,2.86547,283.53818,67.35139,0,69.39967,-10.85666
MF,1433626.5,1433626.643,1433626.766,-787,1,21,6.39502,283.94302,3.69495,294.12491,293.39504,0,289.33299,-10.04234
ML,1433668.5,1433668.62,1433668.744,-787,3,4,5.85347,315.29257,-2.28569,335.78025,292.52515,0,274.63048,-10.39566
EF,1433699.5,1433700.172,1433700.295,-787,4,4,19.08356,17.48125,1.14428,6.42057,99.60696,0,100.58956,-11.07602
EL,1433737.5,1433738.191,1433738.314,-787,5,12,19.54763,55.02965,-1.16319,42.79418,111.9229,0,117.49386,-10.97197
MF,1433766.5,1433766.538,1433766.661,-787,6,10,3.8653,49.74144,-3.20119,69.77432,252.13669,0,234.56486,-10.2818
ML,1433781.5,1433781.536,1433781.66,-787,6,25,3.82906,69.60459,-0.01874,84.08428,243.11372,0,232.72793,-10.1454
EF,1433811.5,1433812.209,1433812.333,-787,7,25,19.98752,128.72371,1.09643,113.56571,113.42784,0,124.68375,-10.2766
EL,1433847.5,1433848.186,1433848.309,-787,8,30,19.42389,172.74799,-3.33144,148.7365,89.83993,0,111.92128,-10.2299
MF,1433869.5,1433869.582,1433869.706,-787,9,21,4.93372,159.45296,-0.00468,170.01494,260.24814,0,258.15394,-10.35459
ML,1433899.5,1433899.599,1433899.722,-787,10,21,5.33515,189.74547,1.11776,200.28207,273.46013,0,272.7248,-10.56979
EF,1433944.5,1433945.118,1433945.241,-787,12,5,17.79279,262.14306,-1.94898,246.69611,58.98325,0,70.68365,-10.33965
EL,1433964.5,1433965.119,1433965.243,-787,12,25,17.82885,277.59175,2.24475,267.07638,64.19218,0,68.0765,-10.03104
MF,1433975.5,1433975.637,1433975.761,-786,1,5,6.25545,266.36628,3.68802,277.74049,294.23219,0,290.79033,-11.45019
ML,1434018.5,1434018.631,1434018.755,-786,2,17,6.11381,301.979,-2.10702,320.7882,296.71585,0,280.87618,-10.48775
EF,1434048.5,1434049.163,1434049.286,-786,3,19,18.86278,1.25273,0.6693,350.70466,91.33791,0,92.44781,-10.51126
EL,1434083.5,1434084.178,1434084.301,-786,4,23,19.23567,34.94894,0.42093,24.42691,106.53735,0,108.80237,-10.28655
MF,1434115.5,1434115.546,1434115.67,-786,5,25,4.07542,32.60741,-3.31765,54.32561,258.67447,0,239.03443,-10.01971
ML,1434126.5,1434126.54,1434126.664,-786,6,5,3.92613,46.59879,-1.40829,64.78491,251.10721,0,235.8585,-10.12749
EF,1434156.5,1434157.213,1434157.336,-786,7,5,20.06379,107.0985,1.67326,94.07074,119.55712,0,127.61919,-10.4016
EL,1434197.5,1434198.198,1434198.322,-786,8,15,19.7191,157.14281,-3.54297,133.75855,96.86436,0,118.26865,-10.27091
MF,1434219.5,1434219.569,1434219.693,-786,9,6,4.62254,142.86291,-0.5997,154.81501,253.73787,0,250.00453,-11.37775
ML,1434245.5,1434245.588,1434245.712,-786,10,2,5.08077,170.53822,1.62302,180.81605,263.66371,0,263.46878,-10.40203
EF,1434294.5,1434295.121,1434295.245,-786,11,20,17.86959,248.48173,-2.1573,231.13592,60.65254,0,74.80901,-10.35261
EL,1434312.5,1434313.118,1434313.241,-786,12,8,17.78224,261.965,1.13781,249.51544,62.85347,0,70.06958,-10.2347
