Jupiter,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
CS,1435199.5,1435200.56,1435200.683,-783,5,14,4.40326,204.70023,2.53087,44.13234,81.56411,-0.5667,244.08826,-8.40138
EL,1435355.5,1435356.143,1435356.266,-783,10,16,18.38512,209.86654,1.99933,195.79754,78.72109,-0.5667,89.16768,-10.26007
MF,1435385.5,1435385.605,1435385.729,-783,11,15,5.49172,213.29571,1.97955,225.78634,282.74215,-0.5667,281.6295,-13.16262
AR,1435548.5,1435549.173,1435549.296,-782,4,27,19.10433,217.90891,2.26429,28.28342,284.27926,-0.5667,108.9762,-8.14001
CS,1435575.5,1435576.552,1435576.675,-782,5,25,4.20891,215.94255,2.23149,54.36673,76.46479,-0.5667,240.26224,-8.57586
EL,1435731.5,1435732.135,1435732.258,-782,10,27,18.20223,220.98422,1.72164,206.70993,73.91233,-0.5667,84.34446,-10.52293
MF,1435762.5,1435762.611,1435762.734,-782,11,27,5.61998,224.53102,1.69571,237.79936,287.42977,-0.5667,285.05942,-13.73357
AR,1435924.5,1435925.181,1435925.304,-781,5,8,19.30065,229.13991,1.88435,38.55205,288.81056,-0.5667,114.0142,-8.8534
CS,1435950.5,1435951.548,1435951.671,-781,6,4,4.11591,227.24051,1.85057,63.64674,71.79455,-0.5667,237.80671,-8.27154
EL,1436108.5,1436109.127,1436109.25,-781,11,8,17.99875,232.22876,1.37674,218.67647,69.59163,-0.5667,79.1998,-10.27538
MF,1436138.5,1436138.619,1436138.742,-781,12,8,5.81293,235.67179,1.34712,248.79213,291.49023,-0.5667,287.8999,-13.2662
AR,1436301.5,1436302.186,1436302.31,-780,5,19,19.43529,240.3519,1.43123,49.75076,292.68066,-0.5667,118.18575,-8.61578
CS,1436326.5,1436327.543,1436327.667,-780,6,14,4.00118,238.51842,1.39569,73.88656,67.76392,-0.5667,235.32727,-8.62637
EL,1436485.5,1436486.12,1436486.244,-780,11,19,17.84927,243.53664,0.977,230.66689,65.98623,-0.5667,74.77815,-10.05961
MF,1436515.5,1436515.625,1436515.748,-780,12,19,5.95486,246.99849,0.94397,260.77847,294.82128,-0.5667,289.50176,-13.33383
AR,1436678.5,1436679.192,1436679.316,-779,5,31,19.57562,251.67894,0.91843,60.946,295.73345,-0.5667,121.63232,-8.4594
CS,1436701.5,1436702.544,1436702.667,-779,6,24,4.01869,249.97762,0.88404,83.19967,64.52371,-0.5667,234.58399,-8.2328
EL,1436861.5,1436862.119,1436862.243,-779,11,30,17.82501,254.84503,0.53623,241.65282,63.30733,-0.5667,71.97433,-10.57186
MF,1436893.5,1436893.628,1436893.752,-778,1,1,6.03688,258.56606,0.49806,273.74158,297.20292,-0.5667,289.57739,-13.74083
AR,1437055.5,1437056.198,1437056.321,-778,6,12,19.71198,263.186,0.36136,72.14404,297.77052,-0.5667,124.19731,-8.435
CS,1437077.5,1437078.545,1437078.668,-778,7,5,4.04202,261.54413,0.32711,93.4924,62.30603,-0.5667,234.30882,-8.34036
