Almagest Mercury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sup conj,,,,greatest elong (east),,,,first station,,,,inf conj,,,,second station,,,,greatest elong(west),,,,Sup conj,greatest elong (east),first station,inf conj,second station,greatest elong(west),Sup conj,,,,greatest elong (east),,,,first station,,,,inf conj,,,,second station,,,,greatest elong (west),,,,,greatest elongations,
Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,,,,,,,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,,east,west
-792,10,8,6.45721,-792,11,12,3.13207,-792,11,23,4.37119,-792,12,2,12.026,-792,12,15,21.9337,-792,12,25,23.8356,1432060.76905,1432095.6305,1432106.68213,1432116.00108,1432129.4139,1432139.49315,191.64636,191.64636,189.67051,191.64636,244.67516,226.00703,225.17744,226.00703,250.65133,236.89991,236.52711,236.89991,246.08501,246.085,246.10995,246.085,237.70489,259.30515,259.89835,259.30515,243.06665,269.23961,270.23827,269.23961,,18.66813000000002,-26.172960000000018
-791,2,2,15.79907,-791,3,9,8.73849,-791,3,19,9.36766,-791,3,30,16.8175,-791,4,10,22.73316,-791,4,20,23.00721,1432178.15829,1432212.8641,1432222.89032,1432234.20073,1432245.44721,1432255.45863,307.34934,307.34934,309.49526,307.34934,3.93694,341.55661,343.91894,341.55661,9.28783,351.4388,353.70733,351.4388,2.58674,2.58674,4.67194,2.58674,355.94518,13.67167,15.50105,13.67167,1.28954,23.53928,25.08749,23.53928,,22.380330000000015,-22.249740000000003
-791,5,25,11.91504,-791,7,3,1.7243,-791,7,13,6.91024,-791,7,26,16.1391,-791,8,4,23.21103,-791,8,16,4.57033,1432289.99646,1432328.57185,1432338.78793,1432352.17246,1432361.46713,1432372.69043,57.58098,57.58098,57.89729,57.58098,121.5796,95.60224,94.4471,95.60224,127.00876,105.67157,104.17976,105.67157,118.86385,118.86384,116.99557,118.86384,114.42693,128.02499,125.94801,128.02499,120.49283,139.08707,136.825,139.08707,,25.977360000000004,-18.594240000000013
-791,9,20,3.12891,-791,10,25,8.68956,-791,11,6,6.33946,-791,11,15,12.86279,-791,11,28,16.04661,-791,12,9,11.83922,1432407.63037,1432442.86207,1432454.76414,1432464.03595,1432477.16861,1432487.9933,173.52512,173.52511,171.22641,173.52511,226.70748,208.25071,206.7561,208.25071,233.11796,219.98182,218.91288,219.98182,229.12044,229.12044,228.41876,229.12044,222.00566,242.06445,241.9147,242.06445,227.73391,252.73365,253.04673,252.73365,,18.456770000000006,-24.999740000000003
-790,1,16,15.35193,-790,2,19,16.43954,-790,3,1,13.58116,-790,3,12,13.62909,-790,3,24,3.58406,-790,4,3,4.02256,1432526.13966,1432560.18498,1432570.06588,1432581.06788,1432592.64934,1432602.66761,290.33206,290.33205,292.06558,290.33205,345.70731,323.88832,326.24515,323.88832,350.97951,333.62728,336.0152,333.62728,344.47124,344.47124,346.81292,344.47124,337.42457,355.88633,358.0912,355.88633,342.78171,5.76069,7.77972,5.76069,,21.818989999999985,-22.978980000000035
-790,5,8,14.73944,-790,6,16,12.19272,-790,6,26,3.88821,-790,7,9,13.33521,-790,7,19,0.56942,-790,7,29,11.06187,1432638.11414,1432677.00803,1432686.66201,1432700.05563,1432709.52373,1432719.96091,40.69805,40.69805,41.66331,40.69805,105.68704,79.03324,78.49678,79.03324,110.83567,88.54854,87.64887,88.54854,101.74977,101.74977,100.38464,101.74977,96.66011,111.08185,109.42581,111.08185,102.30442,121.36911,119.43912,121.36911,,26.65379999999999,-19.064690000000013
-790,9,2,0.55151,-790,10,7,14.47281,-790,10,20,6.33689,-790,10,29,17.40033,-790,11,11,4.97154,-790,11,22,22.47062,1432754.52298,1432790.10303,1432802.76404,1432812.22501,1432824.70715,1432836.43628,155.4347,155.4347,153.0489,155.4347,209.1843,190.50366,188.50084,190.50366,215.95758,202.98279,201.31842,202.98279,212.30788,212.30786,210.95357,212.30786,206.5557,224.6107,223.72461,224.6107,212.74213,236.17134,235.7673,236.17134,,18.68064000000001,-23.429209999999983
-790,12,30,10.01202,-789,2,2,3.51136,-789,2,11,19.57176,-789,2,22,12.11481,-789,3,6,11.45463,-789,3,16,7.57087,1432873.91717,1432907.64631,1432917.31549,1432928.00478,1432939.97728,1432949.81545,273.11383,273.11383,-85.73778,273.11383,327.71384,306.35846,-51.51442,306.35846,332.88489,315.88875,-41.83186,315.88875,326.42451,326.42449,-31.20388,326.42449,318.69322,338.225,-19.39641,338.225,323.96411,347.92186,-9.76855,347.92186,,21.355380000000025,-23.957749999999976
-789,4,21,20.69257,-789,5,30,16.18711,-789,6,9,1.74759,-789,6,22,5.33203,-789,7,1,23.17742,-789,7,11,20.2609,1432986.36219,1433025.17446,1433034.57282,1433047.72217,1433057.46573,1433067.3442,23.94361,23.94361,-334.52065,23.94361,88.79992,62.19835,-297.6692,62.19835,93.83099,71.4617,-288.77594,71.4617,84.42217,84.42217,-276.32218,84.42217,78.70897,94.02576,-267.07352,94.02576,84.04546,103.76234,-257.66855,103.76234,,26.601570000000002,-19.71687999999999
-789,8,15,0.51892,-789,9,19,23.21794,-789,10,3,1.27154,-789,10,13,0.45374,-789,10,24,13.7976,-789,11,6,3.21878,1433101.52162,1433137.46741,1433150.55298,1433160.51891,1433172.0749,1433184.63412,137.44881,137.44881,-224.79078,137.44881,192.27648,172.87825,-189.42769,172.87825,199.22357,185.77584,-176.32938,185.77584,195.59862,195.59861,-166.27753,195.59861,190.98507,206.98861,-154.548,206.98861,197.60042,219.36741,-141.72524,219.36741,,19.398229999999984,-21.766989999999993
