Mars,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long M,lat M,Long Sun,azm M,alt  M,azm S,alt Sun
CS,1445229.739,-756,10,28,5.74091,20.78226,-0.26142,207.91827,99.69749,-0.5667,278.80039,-6.51771
EL,1445507.337,-755,8,1,20.09653,140.33018,0.98998,120.63407,108.99585,-0.5667,124.13714,-13.37293
MF,1445620.727,-755,11,23,5.44514,219.61662,-0.03537,234.17727,287.18105,-0.5667,283.66558,-14.70667
AR,1445986.232,-754,11,23,17.5713,66.77973,2.44023,234.44735,241.01434,-0.5667,71.47181,-6.43442
CS,1446001.761,-754,12,9,6.27542,60.67259,2.90844,250.30284,118.09571,-0.5667,291.7483,-7.24555
EL,1446272.312,-753,9,5,19.49712,176.64683,0.35407,154.46504,92.30356,-0.5667,110.63293,-13.31681
MF,1446462.721,-752,3,14,5.30526,321.68402,-1.1566,346.06816,287.93688,-0.5667,267.70348,-14.55694
AR,1446752.233,-752,12,28,17.59957,101.09806,4.19465,270.65459,236.91641,-0.5667,65.89954,-6.22011
CS,1446768.776,-751,1,14,6.61794,94.63444,4.38112,287.38842,123.81271,-0.5667,292.44951,-6.71097
EL,1447068.26,-751,11,9,18.24593,239.81995,-0.8117,220.46098,65.36368,-0.5667,80.12747,-13.27649
MF,1447260.659,-750,5,21,3.80792,26.12203,-0.38087,50.8226,258.07994,-0.5667,237.55481,-14.66119
AR,1447518.251,-749,2,2,18.02041,134.84305,4.59685,306.44297,244.84217,-0.5667,71.60095,-6.21742
CS,1447535.766,-749,2,20,6.386,128.17245,4.43345,323.82778,117.28461,-0.5667,282.43016,-6.09393
EL,1447894.28,-748,2,13,18.7284,330.37052,-0.8481,317.17488,75.93586,-0.5667,79.30547,-13.36095
MF,1448022.646,-748,6,21,3.50731,60.58584,0.39742,80.82199,244.89529,-0.5667,230.2098,-14.67099
AR,1448288.272,-747,3,13,18.53058,173.50001,3.30348,345.43253,263.05237,-0.5667,87.40696,-6.98643
CS,1448306.73,-747,4,1,5.52554,166.87353,2.6728,3.32806,99.37491,-0.5667,264.34019,-6.68635
EL,1448682.304,-746,4,11,19.29687,26.12185,0.12334,13.27582,102.4718,-0.5667,104.69492,-13.22312
MF,1448780.653,-746,7,19,3.67576,90.67223,0.9432,107.22121,240.31973,-0.5667,231.42144,-14.61481
AR,1449073.293,-745,5,7,19.04349,225.1376,-1.26015,37.90519,290.59466,-0.5667,111.30785,-6.73951
CS,1449085.691,-745,5,20,4.5764,221.36231,-2.04877,49.7116,69.89597,-0.5667,244.6451,-6.24557
EL,1449453.325,-744,5,21,19.80949,65.71138,0.84537,51.98384,116.84684,-0.5667,121.77798,-13.42346
MF,1449541.672,-744,8,18,4.11612,122.12541,1.18869,136.90049,244.69034,-0.5667,240.44874,-14.78325
AR,1449885.314,-743,7,27,19.52477,299.02617,-6.84169,115.85661,302.06665,-0.5667,119.85297,-6.63934
CS,1449891.693,-743,8,3,4.63177,297.28444,-6.77479,122.04377,57.55843,-0.5667,241.8839,-6.49074
EL,1450216.34,-742,6,23,20.16986,98.47652,1.17078,82.97335,119.6163,-0.5667,128.62177,-13.29914
MF,1450306.693,-742,9,22,4.632,156.923,1.02719,171.11815,257.87804,-0.5667,256.43284,-14.72633
AR,1450678.269,-741,9,28,18.45659,5.91658,-2.66724,177.4716,269.72759,-0.5667,95.13374,-6.45239
CS,1450689.728,-741,10,10,5.47502,1.7954,-2.05422,189.01104,88.99166,-0.5667,270.08797,-6.85397
EL,1450975.341,-740,7,21,20.18197,128.67619,1.11283,110.34103,113.25656,-0.5667,126.65966,-13.25931
MF,1451078.715,-740,11,2,5.17148,198.93851,0.36913,213.10275,278.05676,-0.5667,276.20426,-14.61679
AR,1451450.239,-739,11,8,17.74431,52.33505,1.34948,219.50565,246.14787,-0.5667,76.73468,-6.83574
CS,1451464.756,-739,11,23,6.13301,46.65615,1.89627,234.32256,112.59135,-0.5667,288.5991,-6.25006
EL,1451736.325,-738,8,21,19.78819,161.4126,0.65841,140.03938,99.706,-0.5667,117.04054,-13.31185
MF,1451877.748,-737,1,10,5.95802,265.77134,-0.80937,282.92189,298.64304,-0.5667,288.52796,-14.52214
AR,1452217.231,-737,12,15,17.54441,88.38776,3.67191,256.76932,236.97924,-0.5667,66.88703,-6.54069
CS,1452233.772,-736,1,1,6.52483,81.89615,3.98198,273.58816,123.09573,-0.5667,293.45728,-7.17215
EL,1452514.283,-736,10,7,18.78062,209.05964,-0.3093,187.33454,76.77141,-0.5667,94.61115,-13.20626
MF,1452721.673,-735,5,3,4.16287,8.17855,-0.72959,34.03805,266.59168,-0.5667,244.55692,-14.51798
AR,1452982.247,-734,1,18,17.91699,121.97681,4.59393,291.76511,240.62949,-0.5667,68.63911,-7.26432
CS,1453000.771,-734,2,6,6.50265,114.85973,4.57813,310.30607,121.19442,-0.5667,286.85269,-6.79871
EL,1453343.265,-733,1,14,18.3594,301.43978,-1.09333,287.5094,65.37214,-0.5667,71.35992,-13.21741
MF,1453489.649,-733,6,10,3.57123,47.92469,0.11301,69.73653,249.01225,-0.5667,232.08601,-14.5576
AR,1453751.262,-732,2,26,18.2932,157.48485,4.05911,330.11339,254.81796,-0.5667,80.06794,-6.01009
CS,1453768.748,-732,3,15,5.94342,151.00335,3.64201,347.22201,107.58573,-0.5667,272.3255,-6.05724
EL,1454141.296,-731,3,22,19.10595,7.15478,-0.25248,354.32134,93.44103,-0.5667,95.43791,-13.24924
MF,1454248.649,-731,7,8,3.56799,79.19653,0.76276,96.98894,241.08772,-0.5667,230.04876,-14.6397
AR,1454528.283,-730,4,13,18.78703,202.72168,1.05894,15.29586,278.99625,-0.5667,101.2576,-6.58627
CS,1454543.705,-730,4,29,4.92238,197.58094,0.24191,30.06251,82.41803,-0.5667,252.11895,-6.5184
EL,1454917.317,-729,5,7,19.6186,51.42715,0.60938,38.0479,112.71094,-0.5667,116.35784,-13.46342
MF,1455007.664,-729,8,6,3.93396,109.45467,1.13404,124.54774,241.84979,-0.5667,236.02715,-14.56372
AR,1455330.315,-728,6,23,19.55921,268.61229,-5.7424,83.52885,304.76299,-0.5667,123.05211,-6.9043
CS,1455337.681,-728,7,1,4.34207,266.65853,-6.05236,90.57511,54.89902,-0.5667,237.27447,-6.23707
EL,1455683.336,-727,6,11,20.0645,86.51584,1.09188,71.87163,119.8037,-0.5667,127.1578,-13.31649
MF,1455770.685,-727,9,7,4.44658,142.46278,1.14552,156.52186,251.65933,-0.5667,249.46121,-14.50296
AR,1456137.285,-726,9,8,18.83288,342.79289,-4.63171,157.87264,282.67773,-0.5667,104.05236,-6.04584
CS,1456145.718,-726,9,17,5.24343,340.00914,-4.18074,166.26771,76.53747,-0.5667,259.67493,-6.27224
EL,1456443.342,-725,7,11,20.21914,117.21568,1.17948,100.10388,116.57001,-0.5667,128.2596,-13.21833
MF,1456539.706,-725,10,16,4.95173,181.1757,0.69059,195.17564,269.47186,-0.5667,268.30221,-14.53553
AR,1456914.247,-724,10,24,17.93502,36.14999,0.02759,204.60894,253.46052,-0.5667,82.60885,-6.49271
CS,1456927.745,-724,11,7,5.87904,30.95218,0.62551,218.34867,105.08126,-0.5667,282.99178,-6.55713
EL,1457202.333,-723,8,8,19.99814,148.01358,0.8874,127.68728,105.80224,-0.5667,121.80293,-13.32402
MF,1457322.735,-723,12,7,5.63958,233.72816,-0.2989,248.7202,292.31737,-0.5667,287.18344,-14.67674
AR,1457682.231,-722,12,1,17.54658,75.18726,2.95273,242.85228,238.91143,-0.5667,69.3834,-6.61124
CS,1457697.768,-722,12,17,6.43359,69.06634,3.36334,258.70399,120.55817,-0.5667,293.2843,-6.60243
EL,1457970.303,-721,9,15,19.27559,187.02367,0.14131,164.63456,87.19008,-0.5667,105.77313,-13.315
MF,1458175.697,-720,4,8,4.72848,344.34623,-1.04558,10.48679,278.09058,-0.5667,255.74244,-14.57642
AR,1458448.236,-719,1,5,17.67241,108.84315,4.40537,278.99506,237.78343,-0.5667,66.22928,-6.15043
CS,1458464.777,-719,1,22,6.63796,102.40103,4.51898,295.67115,123.32541,-0.5667,291.11643,-6.33633
EL,1458781.254,-719,12,4,18.0918,263.14157,-1.03899,246.20184,61.2178,-0.5667,72.542,-13.30185
MF,1458956.653,-718,5,29,3.68255,34.93807,-0.19105,58.67685,254.18899,-0.5667,234.8823,-14.68773
AR,1459214.257,-717,2,10,18.17366,143.29752,4.47774,314.64099,248.25357,-0.5667,74.61075,-6.8222
CS,1459232.759,-717,3,1,6.20622,136.32529,4.21205,332.91594,114.16347,-0.5667,278.5139,-6.39928
EL,1459597.287,-716,2,28,18.88717,345.16064,-0.64205,332.21438,82.7177,-0.5667,85.2524,-13.28309
MF,1459716.646,-716,6,27,3.51593,67.56692,0.54034,86.79704,243.132,-0.5667,229.85194,-14.62846
AR,1459987.274,-715,3,24,18.57074,183.47472,2.63652,356.34994,268.47182,-0.5667,92.01484,-6.1541
CS,1460003.723,-715,4,10,5.35774,177.66374,1.96757,12.2232,93.55159,-0.5667,260.46318,-6.14624
EL,1460380.309,-714,4,21,19.41493,36.1037,0.3173,23.10245,106.84572,-0.5667,109.48069,-13.30715
MF,1460475.656,-714,7,26,3.75172,98.08381,1.03095,114.22316,240.52343,-0.5667,232.76925,-14.80694
AR,1460777.3,-713,5,23,19.20846,239.81671,-2.9117,53.38271,297.09626,-0.5667,116.73163,-6.48357
CS,1460787.683,-713,6,3,4.39504,236.84817,-3.57938,63.2582,62.94367,-0.5667,240.5625,-6.37581
EL,1461149.33,-712,5,29,19.91563,73.84299,0.95385,59.83752,118.47078,-0.5667,124.27532,-13.37268
MF,1461236.677,-712,8,25,4.24165,129.58417,1.19088,144.01744,246.94536,-0.5667,243.57973,-14.66059
AR,1461590.305,-711,8,13,19.32763,316.02853,-6.40016,132.62335,296.01931,-0.5667,114.77938,-6.57318
CS,1461597.702,-711,8,21,4.84268,313.86742,-6.14194,139.873,63.47839,-0.5667,247.68509,-6.91898
EL,1461910.343,-710,6,29,20.22087,105.22209,1.19068,88.95231,118.89251,-0.5667,129.01512,-13.43481
MF,1462002.698,-710,9,30,4.75425,165.39914,0.92788,179.37652,261.82559,-0.5667,260.65682,-14.52648
AR,1462376.261,-709,10,8,18.26605,18.02563,-1.62007,187.76126,263.01516,-0.5667,90.4254,-6.73234
CS,1462388.735,-709,10,21,5.64331,13.38765,-0.98844,200.38286,95.54945,-0.5667,275.52422,-6.49761
EL,1462669.339,-708,7,27,20.14173,135.57875,1.04973,116.38702,110.83003,-0.5667,125.31408,-13.35702
MF,1462777.722,-708,11,13,5.3259,210.32946,0.15179,224.55532,283.25514,-0.5667,280.62787,-14.5542
AR,1463147.233,-707,11,17,17.60189,61.08972,2.02795,228.91196,242.8468,-0.5667,73.11321,-6.31384
CS,1463161.76,-707,12,2,6.25035,55.37332,2.51317,243.74845,116.13912,-0.5667,290.9179,-6.45176
EL,1463432.318,-706,8,29,19.632,170.10084,0.49499,148.15258,95.52601,-0.5667,113.54772,-13.34841
MF,1463600.741,-705,2,14,5.79185,297.01096,-1.09758,318.19323,295.75365,-0.5667,279.63164,-14.55923
AR,1463913.232,-705,12,23,17.57863,96.19254,3.99914,265.14672,236.75449,-0.5667,66.16857,-6.47086
CS,1463929.775,-704,1,9,6.59762,89.71063,4.23879,281.92458,123.73059,-0.5667,293.09648,-6.80097
EL,1464219.269,-704,10,24,18.46078,225.44474,-0.59634,204.76878,70.05643,-0.5667,86.54955,-13.25222
MF,1464420.664,-703,5,14,3.92458,19.44349,-0.52705,44.76095,261.19398,-0.5667,239.89993,-14.64511
AR,1464679.247,-702,1,27,17.93855,129.56861,4.62479,301.03064,242.96467,-0.5667,70.02887,-6.09639
CS,1464696.768,-702,2,14,6.44106,122.85987,4.51668,318.48693,119.01762,-0.5667,284.2899,-6.36255
EL,1465049.274,-701,2,1,18.58473,319.15393,-0.97446,305.8114,71.30572,-0.5667,75.53146,-13.27233
MF,1465184.647,-701,6,17,3.52038,55.73926,0.28258,76.64992,246.36339,-0.5667,230.74125,-14.66898
