Venus,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1445903.5,1445903.582,1445903.705,-754,9,2,4.92722,142.06544,-8.51976,151.09435,262.08305,-0.5667,251.52113,-7.09136
ML,1446150.5,1446150.574,1446150.698,-753,5,7,4.74556,26.04586,-0.96147,37.23032,258.45887,-0.5667,248.66371,-6.08557
EF,1446213.5,1446214.195,1446214.318,-753,7,9,19.63889,104.26729,1.23363,97.90044,119.85755,-0.5667,123.37666,-6.01816
EL,1446481.5,1446482.153,1446482.277,-752,4,2,18.64167,9.16192,6.31364,4.98024,101.73342,-0.5667,96.24873,-5.79253
MF,1446485.5,1446485.603,1446485.726,-752,4,6,5.42611,6.98647,5.78064,8.30334,259.907,-0.5667,261.89206,-6.15421
ML,1446750.5,1446750.654,1446750.777,-752,12,27,6.65917,262.18836,-0.50935,269.1357,298.78398,-0.5667,294.53411,-6.09275
EF,1446803.5,1446804.134,1446804.258,-751,2,18,18.18528,328.89762,-1.37827,322.77371,74.38588,-0.5667,77.15589,-6.20183
EL,1447058.5,1447059.116,1447059.24,-751,10,31,17.74917,225.31935,-3.91354,211.2235,65.74939,-0.5667,79.39897,-5.86867
MF,1447071.5,1447071.629,1447071.753,-751,11,13,6.0625,218.2325,-0.96943,223.98451,288.10491,-0.5667,285.63902,-5.8549
ML,1447334.5,1447334.567,1447334.69,-750,8,3,4.56972,116.10777,1.17011,121.7042,242.46359,-0.5667,241.08301,-6.11529
EF,1447388.5,1447389.147,1447389.27,-750,9,26,18.47917,184.37433,0.84529,175.60329,89.18888,-0.5667,96.12078,-6.02421
EL,1447644.5,1447645.188,1447645.312,-749,6,9,19.47694,77.14785,-2.01328,69.25503,116.00392,-0.5667,121.79546,-6.30525
MF,1447658.5,1447658.551,1447658.675,-749,6,23,4.1925,69.28397,-4.71978,81.9977,248.50453,-0.5667,236.26687,-6.43877
ML,1447905.5,1447905.641,1447905.764,-748,2,25,6.3475,317.57241,-1.36944,328.48251,290.19997,-0.5667,280.6304,-6.01447
EF,1447968.5,1447969.167,1447969.29,-748,4,28,18.95917,35.8075,-0.19895,29.96075,106.56872,-0.5667,108.27247,-6.16434
EL,1448235.5,1448236.118,1448236.242,-747,1,20,17.79833,296.84969,7.63301,293.89054,74.04209,-0.5667,68.20218,-6.31254
MF,1448822.5,1448822.584,1448822.707,-746,8,30,4.96833,140.06032,-8.6235,148.197,261.44839,-0.5667,250.96481,-6.10044
ML,1449069.5,1449069.577,1449069.7,-745,5,4,4.80583,23.05602,-1.02363,34.43998,259.8649,-0.5667,249.83662,-6.08759
EF,1449133.5,1449134.195,1449134.319,-745,7,7,19.645,102.48054,1.21196,96.04743,120.06003,-0.5667,123.57274,-6.09479
EL,1449401.5,1449402.151,1449402.274,-744,3,31,18.58556,6.82362,6.48595,3.12142,100.79054,-0.5667,95.03635,-5.33236
MF,1449404.5,1449404.607,1449404.73,-744,4,3,5.52139,5.27624,6.12817,5.49056,260.35343,-0.5667,263.45991,-5.85699
ML,1449670.5,1449670.653,1449670.777,-744,12,25,6.64472,260.36145,-0.46853,267.16938,298.57715,-0.5667,294.51935,-6.05927
EF,1449722.5,1449723.132,1449723.256,-743,2,15,18.13306,325.85762,-1.39825,319.87637,73.07802,-0.5667,75.91041,-6.01956
EL,1449977.5,1449978.118,1449978.241,-743,10,28,17.79417,223.04566,-4.34874,208.23439,66.10329,-0.5667,80.63752,-5.80327
MF,1449991.5,1449991.625,1449991.749,-743,11,11,5.97083,215.4485,-1.24611,221.9992,287.28981,-0.5667,284.42578,-6.5912
ML,1450254.5,1450254.566,1450254.69,-742,8,1,4.5525,114.30686,1.1446,119.82587,242.08224,-0.5667,240.63601,-6.01486
EF,1450308.5,1450309.149,1450309.272,-742,9,24,18.52972,182.54872,0.88034,173.66092,90.10724,-0.5667,97.1237,-6.11079
EL,1450564.5,1450565.186,1450565.31,-741,6,7,19.43806,74.83409,-1.77008,67.42093,115.99691,-0.5667,121.2383,-6.10865
MF,1450577.5,1450577.554,1450577.677,-741,6,20,4.25306,67.48058,-4.34429,79.20451,248.39957,-0.5667,237.05297,-5.84012
ML,1450825.5,1450825.642,1450825.766,-740,2,23,6.38083,315.76757,-1.35409,326.57178,290.854,-0.5667,281.41548,-6.02751
EF,1450888.5,1450889.166,1450889.289,-740,4,26,18.9425,34.02862,-0.24174,28.11557,105.78287,-0.5667,107.49561,-6.23253
EL,1451155.5,1451156.115,1451156.239,-739,1,18,17.72556,294.2388,7.51627,291.93083,73.34811,-0.5667,67.45224,-5.77821
MF,1451742.5,1451742.581,1451742.704,-738,8,28,4.90083,137.5194,-8.62713,146.279,260.53257,-0.5667,249.79819,-6.5585
ML,1451988.5,1451988.579,1451988.703,-737,5,1,4.86667,20.04822,-1.08251,31.63045,261.3005,-0.5667,251.04563,-6.0966
EF,1452053.5,1452054.195,1452054.319,-737,7,5,19.64833,100.67787,1.1892,94.18219,120.22913,-0.5667,123.73001,-6.17008
EL,1452320.5,1452321.153,1452321.277,-736,3,28,18.64222,5.05679,6.77423,0.27128,100.25072,-0.5667,94.38884,-6.43879
MF,1452324.5,1452324.607,1452324.731,-736,4,1,5.53417,2.88695,6.303,3.60798,261.3197,-0.5667,264.09571,-6.274
ML,1452590.5,1452590.653,1452590.776,-736,12,23,6.62806,258.51445,-0.42727,265.18185,298.33868,-0.5667,294.47291,-6.02129
EF,1452642.5,1452643.131,1452643.255,-735,2,13,18.11278,324.0345,-1.40757,317.93795,72.31366,-0.5667,75.23339,-6.10317
EL,1452896.5,1452897.12,1452897.243,-735,10,25,17.8425,220.77619,-4.76211,205.24065,66.50916,-0.5667,81.9183,-5.75518
MF,1452910.5,1452910.626,1452910.75,-735,11,8,5.99694,213.24861,-1.77935,218.99175,286.97993,-0.5667,283.85692,-5.70691
