Mercury,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long M,lat M,Long Sun,azm M,alt  M,azm S,alt Sun
EF,1432441.262,-791,10,23,18.29444,222.0858,-2.37538,202.86321,69.25262,-0.5667,85.86377,-10.68649
EL,1432458.255,-791,11,9,18.11194,237.52163,-1.10882,220.17039,65.63328,-0.5667,79.22636,-11.52671
MF,1432473.73,-791,11,25,5.52556,222.83233,2.99153,235.96926,284.97656,-0.5667,284.56599,-14.02797
ML,1432518.764,-790,1,9,6.33639,269.2853,-1.65447,281.80344,299.76096,-0.5667,291.25664,-9.93928
EF,1432547.27,-790,2,6,18.47028,321.38389,-0.53753,310.40058,72.63662,-0.5667,75.70899,-11.13099
EL,1432572.284,-790,3,3,18.81306,346.09356,3.53768,335.108,87.64244,-0.5667,85.71285,-11.94111
MF,1432599.711,-790,3,31,5.05917,337.39186,-1.97632,1.78131,282.24794,-0.5667,261.03115,-13.0821
ML,1432624.698,-790,4,25,4.76333,6.87029,-2.1628,25.77367,268.7393,-0.5667,251.91193,-9.5954
EF,1432651.315,-790,5,21,19.56389,61.54456,1.79055,51.14109,116.99809,-0.5667,119.3576,-10.85776
EL,1432696.337,-790,7,5,20.07778,112.91736,-3.66808,94.07884,111.78578,-0.5667,127.42486,-11.83411
MF,1432719.662,-790,7,29,3.89472,100.42157,-1.77974,116.56025,244.12033,-0.5667,234.43661,-13.66747
ML,1432739.688,-790,8,18,4.51,126.54589,1.81083,136.07648,245.25406,-0.5667,243.82754,-10.16194
EF,1432787.277,-790,10,4,18.65528,203.56885,-2.18359,183.40531,77.09939,-0.5667,94.84824,-10.5626
EL,1432805.265,-790,10,22,18.35222,221.38021,-2.17098,201.60489,69.74764,-0.5667,86.7007,-11.15133
MF,1432822.723,-790,11,9,5.35722,206.85177,2.44996,219.37556,279.27327,-0.5667,279.4389,-13.32306
ML,1432866.76,-790,12,23,6.24639,253.52192,-1.31266,264.31167,298.08323,-0.5667,291.9553,-9.56343
EF,1432896.26,-789,1,21,18.25056,305.44015,-1.03285,294.14578,66.57425,-0.5667,71.24649,-10.91392
EL,1432919.277,-789,2,13,18.64778,328.42002,3.60054,317.11374,80.01667,-0.5667,78.70357,-12.3536
MF,1432937.734,-789,3,4,5.62111,316.55328,1.09668,335.30711,287.3297,-0.5667,273.39171,-13.30522
ML,1432973.714,-789,4,9,5.13444,351.12864,-2.31239,10.21794,276.30776,-0.5667,259.22957,-9.55444
EF,1433000.306,-789,5,5,19.33972,45.65447,1.58011,35.66626,111.88408,-0.5667,113.15539,-10.5986
EL,1433045.33,-789,6,19,19.91861,94.0264,-3.46107,78.53889,114.2746,-0.5667,126.18548,-11.1293
MF,1433069.656,-789,7,14,3.73861,84.21079,-2.14702,101.83399,244.22049,-0.5667,231.79665,-13.35837
ML,1433088.681,-789,8,2,4.33222,111.03112,1.61273,120.21963,241.55929,-0.5667,238.99178,-9.53777
EF,1433129.298,-789,9,11,19.15639,179.80793,-1.31369,160.14734,89.02847,-0.5667,106.06931,-10.63422
EL,1433151.281,-789,10,3,18.73333,204.44129,-2.87264,182.15674,75.96147,-0.5667,95.86609,-11.22655
MF,1433172.712,-789,10,25,5.09083,190.39148,1.95837,203.84792,272.4346,-0.5667,272.50807,-14.1621
ML,1433212.75,-789,12,4,6.00194,234.83469,-0.72763,244.68816,293.15428,-0.5667,289.23994,-9.64674
EF,1433245.252,-788,1,5,18.04583,289.72255,-1.45627,277.75858,62.28179,-0.5667,68.8335,-10.70724
EL,1433267.268,-788,1,27,18.43833,311.23134,3.29328,299.92696,73.33792,-0.5667,73.38468,-12.33493
MF,1433281.748,-788,2,11,5.95722,299.40921,2.80002,314.3681,290.62178,-0.5667,281.8626,-13.06075
ML,1433322.729,-788,3,23,5.49,335.60789,-2.34976,354.55407,283.44632,-0.5667,266.63049,-9.75505
EF,1433350.301,-788,4,19,19.21722,31.6706,1.39209,21.10095,106.23646,-0.5667,107.04327,-11.19642
EL,1433392.323,-788,5,31,19.74972,74.74706,-2.59359,61.15132,114.34549,-0.5667,122.9674,-11.43632
MF,1433420.653,-788,6,29,3.66889,68.97739,-2.1829,88.16594,246.09228,-0.5667,231.28751,-13.12213
ML,1433436.671,-788,7,15,4.11028,93.32526,1.17799,103.54048,240.07634,-0.5667,235.32892,-9.69987
EF,1433468.319,-788,8,15,19.65944,151.06859,0.20568,134.26058,103.77145,-0.5667,117.27306,-10.69106
EL,1433500.294,-788,9,16,19.065,188.8746,-3.17834,165.88114,82.76162,-0.5667,103.60941,-11.02313
MF,1433521.706,-788,10,8,4.94722,174.61905,1.18849,187.38739,265.84706,-0.5667,265.30776,-13.37818
ML,1433557.738,-788,11,13,5.715,214.74947,0.03003,224.00419,285.20881,-0.5667,283.2771,-9.61969
EF,1433595.248,-788,12,20,17.96278,275.93535,-1.71362,262.28158,60.32936,-0.5667,69.11568,-11.20374
EL,1433616.257,-787,1,10,18.16917,294.18367,2.87653,283.58357,68.27742,-0.5667,69.80764,-11.44021
MF,1433628.752,-787,1,23,6.05111,282.34438,3.43679,296.15923,292.94676,-0.5667,286.87526,-13.46163
ML,1433672.743,-787,3,8,5.82333,322.0582,-2.2774,339.73196,289.04798,-0.5667,273.61997,-9.60797
EF,1433699.292,-787,4,3,19.00722,15.5021,0.98294,5.49307,98.65129,-0.5667,99.17661,-10.60982
EL,1433738.314,-787,5,12,19.525,55.01792,-1.17413,42.83168,111.74717,-0.5667,116.92145,-11.67884
ML,1433784.667,-787,6,28,4.00722,75.40846,0.55482,86.99881,241.77918,-0.5667,234.50081,-9.63294
EF,1433810.33,-787,7,23,19.91722,125.39648,1.27383,111.66684,114.47165,-0.5667,124.00312,-10.58374
EL,1433849.309,-787,8,31,19.41444,173.16717,-3.40241,149.7641,89.91513,-0.5667,111.19413,-11.14584
MF,1433871.695,-787,9,23,4.69139,158.37475,0.61149,172.04831,258.97346,-0.5667,257.28398,-14.15123
ML,1433901.725,-787,10,23,5.39806,192.96683,0.90011,202.35676,274.76327,-0.5667,274.32664,-9.98929
EF,1433944.246,-787,12,4,17.89667,260.64297,-2.00297,245.72112,60.22494,-0.5667,71.25587,-10.88424
