Mercury,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
ML,1431581.5,1431581.538,1431581.662,-793,6,17,3.88065,61.92647,-0.17003,75.91875,244.5798,-0.5667,233.97019,-9.75402
EF,1431607.5,1431608.214,1431608.337,-793,7,13,20.09176,114.88847,1.52092,101.45437,118.25449,-0.5667,127.27378,-10.68586
EL,1431646.5,1431647.197,1431647.32,-793,8,21,19.68601,163.50297,-3.39023,139.32964,94.50792,-0.5667,116.68258,-11.0521
MF,1431670.5,1431670.567,1431670.69,-793,9,14,4.56379,149.18487,0.06202,162.45472,255.22516,-0.5667,252.10768,-13.47258
ML,1431698.5,1431698.595,1431698.719,-793,10,12,5.2484,181.26956,1.27593,190.60242,268.84257,-0.5667,268.53602,-9.98068
EF,1431743.5,1431744.12,1431744.244,-793,11,26,17.85231,253.15862,-2.10151,236.95781,60.30052,-0.5667,73.24297,-10.6314
EL,1431762.5,1431763.122,1431763.245,-793,12,15,17.8902,268.79945,1.45897,256.34988,63.3746,-0.5667,69.74886,-11.38428
MF,1431775.5,1431775.626,1431775.75,-793,12,28,5.98849,255.75088,3.58001,269.07612,293.08811,-0.5667,289.54208,-13.902
ML,1431820.5,1431820.638,1431820.761,-792,2,11,6.26827,298.19058,-2.0815,314.31356,297.29283,-0.5667,283.7749,-9.69329
EF,1431847.5,1431848.159,1431848.282,-792,3,9,18.7719,351.60475,0.34671,341.40789,86.71186,-0.5667,88.12641,-10.67206
EL,1431879.5,1431880.178,1431880.301,-792,4,10,19.23345,23.80215,1.6309,12.40025,103.44163,-0.5667,104.26813,-12.05388
ML,1431927.5,1431927.545,1431927.669,-792,5,28,4.052,40.43839,-1.3119,57.60446,252.87145,-0.5667,238.22935,-9.74043
EF,1431954.5,1431955.213,1431955.337,-792,6,24,20.08397,96.32062,1.81923,83.96899,121.39366,-0.5667,128.17121,-11.07814
EL,1431996.5,1431997.208,1431997.331,-792,8,5,19.94577,147.60102,-3.57426,124.43327,101.32777,-0.5667,122.37249,-11.14427
MF,1432020.5,1432020.555,1432020.678,-792,8,29,4.27095,132.94808,-0.50655,147.32484,249.49917,-0.5667,244.34969,-14.01954
ML,1432044.5,1432044.584,1432044.707,-792,9,22,4.97123,161.84514,1.72138,171.22439,259.06004,-0.5667,258.93173,-10.10037
EF,1432093.5,1432094.126,1432094.25,-792,11,10,17.99809,239.58369,-2.28069,221.39448,63.05573,-0.5667,78.42417,-10.69588
EL,1432110.5,1432111.122,1432111.245,-792,11,27,17.88513,253.14326,0.27857,238.751,63.24083,-0.5667,73.07313,-11.14156
MF,1432124.5,1432124.617,1432124.741,-792,12,11,5.78048,239.11162,3.36593,252.52922,290.04859,-0.5667,287.95369,-14.23634
ML,1432169.5,1432169.643,1432169.766,-791,1,25,6.39523,283.59119,-1.88544,298.11503,299.90611,-0.5667,288.53338,-9.86414
EF,1432197.5,1432198.154,1432198.277,-791,2,22,18.6465,337.41077,-0.00563,326.45203,79.68457,-0.5667,81.91334,-11.29957
EL,1432225.5,1432226.167,1432226.291,-791,3,22,18.97851,4.45851,2.85455,353.82657,95.65497,-0.5667,94.65373,-11.52593
ML,1432274.5,1432274.559,1432274.682,-791,5,10,4.37948,21.02127,-2.05238,40.25547,261.93086,-0.5667,244.71983,-9.55147
EF,1432301.5,1432302.203,1432302.327,-791,6,6,19.84378,77.12639,1.87606,66.56301,120.85067,-0.5667,124.92028,-10.50146
EL,1432346.5,1432347.214,1432347.337,-791,7,21,20.09064,130.75058,-3.73218,109.66166,107.47014,-0.5667,126.26153,-11.03399
MF,1432369.5,1432369.546,1432369.669,-791,8,13,4.064,116.7396,-1.34342,131.36072,245.67522,-0.5667,238.19474,-13.24067
ML,1432391.5,1432391.572,1432391.695,-791,9,4,4.69038,143.51263,1.88285,153.03762,250.76442,-0.5667,250.04005,-10.24756
EF,1432442.5,1432443.136,1432443.26,-791,10,25,18.23339,224.70711,-2.42792,204.85215,67.71237,-0.5667,85.16383,-10.51483
EL,1432456.5,1432457.13,1432457.253,-791,11,8,18.08298,237.4284,-1.34365,219.10795,64.78841,-0.5667,79.7352,-11.3876
MF,1432473.5,1432473.609,1432473.732,-791,11,25,5.57559,222.86042,2.98837,235.9302,285.3302,-0.5667,284.40975,-13.93698
