Jupiter,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
AR,1437505.286,-777,9,4,18.87222,340.02252,-1.81903,153.27598,281.24549,0,105.68395,-5.40073
CS,1437515.72,-777,9,15,5.29167,338.61719,-1.82039,163.64433,78.12043,0,259.09837,-5.25583
EL,1437693.283,-776,3,10,18.78944,353.47604,-1.1874,342.54304,85.65587,0,88.2986,-10.67803
MF,1437734.7,-776,4,21,4.80417,3.23186,-1.17402,22.53361,269.73305,0,253.10757,-10.01568
AR,1437906.256,-776,10,9,18.13444,16.08469,-1.53205,189.03795,264.145,0,88.98778,-5.34859
CS,1437916.739,-776,10,20,5.74083,14.65775,-1.51631,199.65707,95.22026,0,275.99856,-5.1655
EL,1438095.298,-775,4,16,19.14194,29.10531,-0.80317,18.08219,102.37932,0,105.26021,-10.6744
MF,1438134.672,-775,5,26,4.13278,38.1445,-0.75091,55.63591,253.90412,0,239.64371,-10.26279
AR,1438305.233,-775,11,12,17.58778,50.72517,-0.70621,223.32541,249.3979,0,74.48554,-5.4264
CS,1438316.757,-775,11,24,6.17722,49.16556,-0.6781,235.09071,110.12942,0,289.05735,-5.86687
EL,1438496.313,-774,5,22,19.5075,63.17503,-0.15137,52.21134,114.7113,0,119.08541,-10.06426
MF,1438530.664,-774,6,26,3.93778,70.85082,-0.09133,84.94041,243.65193,0,233.99937,-10.31326
AR,1438703.226,-774,12,15,17.42583,83.45861,0.30497,256.75297,241.68952,0,66.01753,-5.13582
CS,1438714.776,-774,12,27,6.63167,81.91636,0.33371,268.5094,118.24019,0,294.55118,-5.4783
EL,1438893.328,-773,6,23,19.87222,95.01031,0.52014,82.47627,118.65466,0,125.83929,-10.3106
MF,1438925.674,-773,7,26,4.17444,102.08629,0.56967,113.5515,241.84878,0,236.68879,-10.26798
AR,1439099.239,-772,1,15,17.74444,114.76894,1.17442,287.96246,243.2501,0,67.0609,-5.76436
CS,1439112.779,-772,1,29,6.69806,112.99956,1.19882,301.55506,117.158,0,290.32789,-5.30152
EL,1439288.329,-772,7,22,19.8975,125.45025,1.02221,111.0434,113.78121,0,123.92029,-10.33924
MF,1439320.692,-772,8,24,4.61917,132.46184,1.04994,142.59776,248.43835,0,246.54966,-10.01484
AR,1439495.256,-771,2,14,18.15194,145.14524,1.69429,318.70867,252.47795,0,75.51973,-5.92186
CS,1439510.761,-771,3,2,6.27333,143.15781,1.70376,333.99359,108.33089,0,278.71397,-5.29727
EL,1439683.313,-771,8,21,19.50528,155.48953,1.23739,140.02453,102.63489,0,114.5224,-10.03995
MF,1439716.708,-771,9,24,4.99694,162.75801,1.23742,173.17719,260.62578,0,260.26106,-10.48532
AR,1439892.268,-770,3,18,18.43389,175.34707,1.75381,349.87279,265.92906,0,88.38685,-5.19713
CS,1439907.734,-770,4,3,5.61083,173.39014,1.74247,4.83998,94.97978,0,264.58456,-5.13062
EL,1440078.288,-770,9,20,18.91611,185.74396,1.11315,169.50785,88.48652,0,101.28243,-10.13903
MF,1440111.725,-770,10,24,5.39694,193.14932,1.08321,203.23699,274.9943,0,274.62682,-10.13847
AR,1440289.281,-769,4,19,18.75583,206.3909,1.3213,20.51157,280.65728,0,103.00149,-5.5523
CS,1440304.704,-769,5,5,4.90556,204.44391,1.29271,35.24659,80.15421,0,250.69232,-5.39323
EL,1440475.262,-769,10,22,18.28139,217.23992,0.66206,201.49975,74.15335,0,86.19887,-10.22912
MF,1440508.742,-769,11,25,5.80167,224.85696,0.60963,235.63247,288.74141,0,286.44948,-10.5492
AR,1440688.296,-768,5,22,19.11417,238.78218,0.46517,52.71791,293.24674,0,115.82008,-5.51265
CS,1440701.686,-768,6,5,4.45917,237.07598,0.43072,65.45853,67.17747,0,240.75801,-5.41893
EL,1440875.244,-768,11,25,17.85833,250.67776,-0.0176,236.9228,63.54784,0,72.93283,-10.10135
MF,1440907.76,-768,12,28,6.24306,258.29068,-0.07687,270.06678,297.60078,0,291.71727,-10.21933
AR,1441089.31,-767,6,27,19.42972,272.92256,-0.59991,86.80497,298.83256,0,121.95124,-5.29953
CS,1441100.685,-767,7,9,4.44806,271.44722,-0.62932,97.70613,61.10139,0,238.10649,-5.53416
EL,1441276.25,-767,12,31,17.99528,285.72661,-0.7147,273.35675,62.13829,0,68.56353,-10.61632
MF,1441311.761,-766,2,5,6.2525,294.2006,-0.76873,309.07596,296.39452,0,285.33868,-10.04391
AR,1441491.306,-766,8,3,19.35278,308.68466,-1.49351,122.22615,293.32567,0,117.23334,-5.35799
CS,1441501.703,-766,8,14,4.87806,307.30754,-1.51016,132.36127,66.21899,0,246.05047,-5.27129
EL,1441679.267,-765,2,7,18.41667,322.2129,-1.16018,311.32656,71.90366,0,75.54781,-10.32989
MF,1441718.732,-765,3,19,5.57167,331.63604,-1.18725,350.12712,284.25294,0,268.57855,-10.00544
AR,1441893.282,-765,9,9,18.77417,345.15988,-1.82078,158.32307,278.90184,0,103.44835,-5.42517
CS,1441903.723,-765,9,20,5.35917,343.74945,-1.81961,168.73424,80.45044,0,261.50734,-5.19969
