Saturn,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1435384.5,1435384.61,1435384.733,-783,11,14,5.59441,213.18081,1.97957,224.77014,283.07631,0,282.17053,-11.72044
AR,1435551.5,1435552.166,1435552.289,-782,4,30,18.9372,217.69294,2.26339,31.14226,284.57941,0,108.47941,-5.73173
CS,1435569.5,1435570.567,1435570.691,-782,5,19,4.5766,216.35664,2.24327,48.67193,75.92893,0,244.67649,-5.51319
EL,1435728.5,1435729.141,1435729.264,-782,10,24,18.33498,220.64221,1.72619,203.66482,73.66028,0,86.34074,-11.51111
MF,1435760.5,1435760.617,1435760.741,-782,11,25,5.78001,224.30103,1.69629,235.76281,287.73605,0,285.90907,-11.44193
AR,1435928.5,1435929.171,1435929.294,-781,5,12,19.06343,228.85296,1.88197,42.35297,289.1104,0,112.99377,-5.54464
CS,1435945.5,1435946.561,1435946.684,-781,5,30,4.41498,227.58888,1.86016,58.90283,71.29378,0,241.29428,-5.63505
EL,1436105.5,1436106.132,1436106.255,-781,11,5,18.12873,231.88507,1.38131,215.62189,69.30891,0,81.10319,-11.36115
MF,1436136.5,1436136.625,1436136.749,-781,12,6,5.97408,235.44105,1.34827,246.7569,291.82103,0,288.89682,-11.01804
AR,1436304.5,1436305.18,1436305.303,-780,5,22,19.27066,240.13683,1.4286,52.59739,293.03119,0,117.33398,-6.3588
CS,1436321.5,1436322.556,1436322.679,-780,6,9,4.30082,238.87003,1.40501,69.135,67.27739,0,238.66672,-5.78195
EL,1436482.5,1436483.126,1436483.249,-780,11,16,17.97606,243.19063,0.98146,227.60896,65.66638,0,76.55015,-11.26074
MF,1436513.5,1436513.631,1436513.755,-780,12,17,6.11738,246.76707,0.9456,258.74896,295.18087,0,290.66789,-11.15068
AR,1436681.5,1436682.185,1436682.309,-779,6,3,19.41247,251.46287,0.91494,63.79419,296.11412,0,120.56833,-6.31516
CS,1436697.5,1436698.554,1436698.677,-779,6,20,4.24918,250.26326,0.89105,79.38804,64.06792,0,237.00754,-5.86296
EL,1436859.5,1436860.122,1436860.245,-779,11,28,17.89049,254.61245,0.53907,239.61357,62.9275,0,72.92001,-11.25569
