Mars,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1450306.5,1450306.568,1450306.692,-742,9,22,4.59626,156.89516,1.02736,171.0763,257.55328,-0.5667,255.56439,-14.64764
AR,1450678.5,1450678.146,1450678.269,-741,9,28,18.45916,5.9311,-2.66918,177.43121,269.69518,-0.5667,95.40182,-6.27979
CS,1450688.5,1450689.605,1450689.728,-741,10,10,5.47578,1.80913,-2.05653,188.97035,88.99313,-0.5667,269.82525,-6.83606
EL,1450971.5,1450972.224,1450972.348,-740,7,18,20.34783,126.72448,1.12716,107.41417,114.5099,-0.5667,129.09266,-13.43336
MF,1451078.5,1451078.593,1451078.716,-740,11,2,5.19566,198.91029,0.36951,213.06269,278.21318,-0.5667,275.83075,-14.52647
AR,1451449.5,1451450.113,1451450.236,-739,11,8,17.67342,52.35131,1.34764,219.46153,245.52298,-0.5667,76.4428,-6.44425
CS,1451463.5,1451464.635,1451464.759,-739,11,23,6.20691,46.67025,1.8951,234.28451,113.18121,-0.5667,288.93644,-6.03559
EL,1451732.5,1451733.207,1451733.33,-738,8,18,19.92632,159.35997,0.68742,137.06015,100.93972,-0.5667,119.48885,-13.21985
MF,1451881.5,1451881.628,1451881.751,-737,1,14,6.02258,268.87098,-0.84464,286.92289,299.48347,-0.5667,287.86134,-14.51346
AR,1452216.5,1452217.103,1452217.227,-737,12,15,17.43851,88.40465,3.67052,256.72374,236.07297,-0.5667,66.32007,-6.1487
CS,1452232.5,1452233.653,1452233.777,-736,1,1,6.63869,81.90942,3.98179,273.55206,124.00692,-0.5667,294.06645,-6.699
EL,1452507.5,1452508.166,1452508.289,-736,10,1,18.93462,204.59645,-0.24259,181.25478,78.51901,-0.5667,98.29195,-13.26705
MF,1452727.5,1452727.541,1452727.664,-735,5,9,3.9443,12.42683,-0.67944,39.7092,264.41139,-0.5667,240.70509,-14.54973
AR,1452981.5,1452982.119,1452982.243,-734,1,18,17.826,121.99313,4.59323,291.72073,239.84767,-0.5667,68.20439,-6.97509
CS,1452999.5,1453000.652,1453000.775,-734,2,6,6.60842,114.87256,4.57876,310.27029,122.03849,-0.5667,287.43493,-6.14422
EL,1453340.5,1453341.139,1453341.262,-733,1,12,18.28625,299.84274,-1.10003,285.44906,64.33169,-0.5667,71.1832,-13.30656
