Modern Saturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conjunction,,,,first station,,,,opposition,,,,second station,,,,conjunction,first station,opposition,second station,conjunction,,,,first station,,,,opposition,,,,second station,,,
Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,,,,,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean
-766,5,26,6.6365,-766,9,26,9.37718,-766,12,2,4.03262,-765,2,6,19.18131,1441421.69342,1441544.80761,1441611.58492,1441678.21612,55.57321,53.46516,55.57547,55.57321,66.24421,57.58913,175.15167,176.92027,62.73908,59.82598,242.98436,242.73909,59.26243,62.05793,310.36339,308.41388
-765,6,9,23.75089,-765,10,10,15.50421,-765,12,16,18.66254,-764,2,21,10.57116,1441801.40652,1441924.06291,1441991.1945,1442057.85736,69.83605,66.18445,69.3468,69.83605,80.41937,70.29309,189.26262,190.73188,76.89989,72.5418,257.64642,256.89989,73.46119,74.77482,324.6373,322.6059
-764,6,23,11.43285,-764,10,23,13.10918,-764,12,30,2.94498,-763,3,6,23.07815,1442180.89327,1442302.96311,1442370.53961,1442437.37849,83.87579,78.89616,82.92904,83.87579,94.32527,82.98515,203.10009,204.19349,90.80002,85.24877,271.98454,270.80002,87.39933,87.48767,338.6642,336.67952
-763,7,7,15.96611,-763,11,6,1.01325,-762,1,13,3.40816,-762,3,21,6.83103,1442560.08215,1442681.45912,1442749.55891,1442816.70152,97.62195,91.59789,96.28681,97.62194,107.90238,95.66367,216.59157,217.25671,104.37902,97.94482,285.92059,284.37902,101.01448,100.1939,352.38253,350.5579
-762,7,21,12.15321,-762,11,19,3.55337,-761,1,26,19.17977,-761,4,4,7.9395,1442938.92328,1443059.56496,1443128.21606,1443195.74771,111.02533,104.28797,109.37473,111.02533,121.11622,108.32912,229.71998,229.93536,117.60107,110.62873,299.41126,297.60107,114.26957,112.89085,5.73461,4.1634
-761,8,3,23.44986,-761,12,1,22.16323,-760,2,9,2.03378,-760,4,17,1.13851,1443317.39398,1443437.34037,1443506.50164,1443574.46434,124.0636,116.96565,122.18419,124.0636,133.95758,120.9835,242.51916,242.28833,130.45689,123.30021,312.42904,310.45689,127.15347,125.57676,18.67827,17.44407
-760,8,16,1.90551,-760,12,13,9.77241,-759,2,21,0.27333,-759,4,30,9.6123,1443695.49629,1443814.82408,1443884.42829,1443952.81741,136.73879,129.63098,134.72966,136.73878,146.43985,133.62812,255.00962,254.35379,142.95892,135.95966,324.98965,322.95892,139.67833,138.25049,31.215,30.36641
-759,8,28,20.09404,-759,12,25,14.48446,-758,3,5,14.67096,-758,5,13,10.12852,1444073.25415,1444192.02042,1444262.02819,1444330.83892,149.07445,142.28478,147.03183,149.07445,158.59617,146.2631,267.17611,266.13599,155.1389,148.60816,337.13681,335.1389,151.87532,150.91312,43.40443,42.96194
-758,9,10,6.92251,-757,1,6,12.95042,-757,3,17,22.20763,-757,5,26,4.49621,1444450.70534,1444568.9565,1444639.34222,1444708.60424,161.10784,154.9283,159.12425,161.10784,170.4686,158.88937,279.03526,277.66168,167.0371,161.24709,348.9132,347.0371,163.78406,163.56717,55.31955,55.30497
-757,9,22,11.38623,-756,1,18,7.46038,-756,3,28,23.89982,-756,6,6,16.94954,1444827.89132,1444945.72775,1445016.41272,1445086.12313,172.87985,167.56294,171.03737,172.87985,182.10139,171.51012,290.67248,289.02489,178.69528,173.87786,0.37804,358.69528,175.44702,176.21296,66.99564,67.40509
